Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,ItemID,Producer,ProducerArticleNumber,Variant,Herstellermodell,Marketingperiode,LaunchDate,ArticleGroup,CanonicalCategoryId,Color1,Color2,Color3,HerstellerFarbbezeichnung,Active,SapMaterialNumber,Produktgruppe,Produktart,Serie,Aermellaenge,Textillaenge,Passform,Ausschnitt,Material_1,Material_1_pct,Material_2,Material_2_pct,Mesh_Einsaetze,Extras,Technologien
uhlsport,10080388_1005614_11,Uhlsport Goal Torwarttrikot Gelb Schwar,1001,Torwarttrikots,10080388,uhlsport,1005614,Uhl_T_TEX,1005614,222204,2017-06-21,103070,65,gelb,schwarz,,lite fluo gelb/schwarz,true,1005614-11,,Torhüter - Trikots,,Langarm,,,,,,,,,,
erima,10081980_4100701_000,Erima Torwarthose Schwarz,1002,Torwarthosen,10081980,Erima,4100701,Erim_T_TEX,4100701,222208,2018-04-03,103071,66,schwarz,,,schwarz,true,4100701,Torhüter,Torhüter - Hosen,,,,,,Polyester,100,,,,,
Derbystar,10099839_6677_200,Derbystar Uwe Torwarthose Short Kids Sc,1002,Torwarthosen,10099839,Derbystar,6677,Adi_T_KID,6677K,222182,2018-11-07,103071,66,schwarz,,,black,true,6677-200K,Torhüter,Torhüter - Hosen,,,Kurz,,,Polyester,100,,,,,Atmungsaktivität;Bequem;Leicht;Schutz;Schweißableitend
Derbystar,10099861_6680_200,Derbystar Kai Pro II Torwarthose Schwar,1002,Torwarthosen,10099861,Derbystar,6680,Adi_T_US,6680,222182,2018-11-07,103071,66,schwarz,,,black,true,6680-200,Torhüter,Torhüter - Hosen,,,Lang,locker,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schutz
Derbystar,10099864_6681_200,Derbystar Nico Pro II Torwarthose Kids,1002,Torwarthosen,10099864,Derbystar,6681,Adi_T_KID,6681K,222182,2018-11-07,103071,66,schwarz,,,black,true,6681-200K,Torhüter,Torhüter - Hosen,,,Lang,locker,,Polyester,80,Baumwolle,20,,Kordelzug,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schutz
uhlsport,10101455_1005612_05,uhlsport Tower GK-Shirt l/s,1001,Torwarttrikots,10101455,uhlsport,1005612,Uhl_T_TEX,1005612,222204,2018-04-26,103070,65,grau,gruen,,dark grau melange/fluo gr,true,1005612-05,Torhüter,Torhüter - Trikots,Tower,Langarm,,,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Leicht;Schutz;Schweißableitend
Derbystar,10159176_6059_082,Derbystar Hyper Torwarttrikot langarm B,1001,Torwarttrikots,10159176,Derbystar,6059,Der_T_Men,6059,222182,2021-08-10,103070,65,blau,schwarz,,blue,true,6059-82,Torhüter,Trikots,Hyper,Langarm,Normal,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Elastizität;Halt;Haltbarkeit
Derbystar,10159187_6059_420,Derbystar Hyper Torwarttrikot langarm G,1001,Torwarttrikots,10159187,Derbystar,6059,Der_T_Men,6059,222182,2021-08-10,103070,65,gruen,schwarz,,green,true,6059-420,Torhüter,Trikots,Hyper,Langarm,Normal,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Elastizität;Halt;Haltbarkeit
Derbystar,10159188_6059_520,Derbystar Hyper Torwarttrikot langarm G,1001,Torwarttrikots,10159188,Derbystar,6059,Der_T_Men,6059,222182,2021-08-10,103070,65,gelb,schwarz,,yellow,true,6059-520,Torhüter,Trikots,Hyper,Langarm,Normal,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Elastizität;Halt;Haltbarkeit
Derbystar,10159190_6059_720,Derbystar Hyper Torwarttrikot langarm O,1001,Torwarttrikots,10159190,Derbystar,6059,Der_T_Men,6059,222182,2021-09-14,103070,65,orange,schwarz,,orange,true,6059-720,Torhüter,Trikots,Hyper,Langarm,Normal,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Elastizität;Halt;Haltbarkeit
NIKE,10171177_CZ6664_057,Nike Promo TW-Trikot langarm Grau Schwa,1001,Torwarttrikots,10171177,Nike,CZ6664,Nike_T_MEN,CZ6664,222212,2021-08-04,103070,65,grau,schwarz,,ghost/black,true,CZ6664-057,Torhüter,Torhüter - Trikots,Park,Langarm,,,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Kühlend;Leicht;Schweißableitend
NIKE,10171179_CZ6664_329,Nike Promo TW-Trikot langarm Grün Schwa,1001,Torwarttrikots,10171179,Nike,CZ6664,Nike_T_MEN,CZ6664,222212,2021-08-04,103070,65,gruen,schwarz,,green spark/black,true,CZ6664-329,Torhüter,Torhüter - Trikots,Park,Langarm,,,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Kühlend;Leicht;Schweißableitend
NIKE,10171181_CZ6664_411,Nike Promo TW-Trikot langarm Blau F411,1001,Torwarttrikots,10171181,Nike,CZ6664,Nike_T_MEN,CZ6664,222212,2021-09-03,103070,65,blau,,,,true,CZ6664-411,Torhüter,Torhüter - Trikots,Park,Langarm,,,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Kühlend;Leicht;Schweißableitend
NIKE,10171182_CZ6664_528,Nike Promo TW-Trikot langarm Lila F528,1001,Torwarttrikots,10171182,Nike,CZ6664,Nike_T_MEN,CZ6664,222212,2021-08-04,103070,65,lila,weiss,,wild berry/white,true,CZ6664-528,Torhüter,Torhüter - Trikots,Park,Langarm,,,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Kühlend;Leicht;Schweißableitend
