Marke,ParentSKU,ProductName,Revenue_total,Kategorie_Code,Kategorie,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Gender,MCP_Sleeve_length,MCP_Pants_cut,MCP_Padding,MCP_Fit,MCP_Leg_type,MCP_Neckline,MCP_Feature_textile,MCP_Mesh_inset,MCP_Extra,MCP_resolved
KEEPERsport,KS60032-991,KEEPERsport Underpants PowerPadded 3/4,200703.38,1005,Torwart Unterziehhosen,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60033-991,KEEPERsport Underpants PowerPadded witho,148300.47,1005,Torwart Unterziehhosen,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60030-991,KEEPERsport Undershort PowerPadded Schw,142685.94,1002,Torwarthosen,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60026-991,KEEPERsport Undershirt PowerPadded l/s,133060.07,1004,Torwart Unterziehshirts,,,,,,,,,,,,,,,,,false
KEEPERsport,KS40011-991,KEEPERsport GK Top Regskin l/s,131267.12,1003,Torwart Trainingsoberteile,KS40011-991,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
KEEPERsport,KS20004-991,KEEPERsport GK Pants BasicPadded,94737.3,1002,Torwarthosen,KS20004-991,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
KEEPERsport,KS40010-991,KEEPERsport Cold Trainingsshirt Schwarz,74022.23,1003,Torwart Trainingsoberteile,KS40010-991,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
KEEPERsport,KS60027-991,KEEPERsport Undershirt PowerPadded Colds,73813.58,1004,Torwart Unterziehshirts,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60055-906,KEEPERsport Underpants PowerPadded 3/4,68840.39,1005,Torwart Unterziehhosen,KEEPERsport Underpants PowerPadded 3/4,configurable,KEEPERsport,black,Schwarz,KEEPERsport PowerPadded,Herren,,three-quarter,"hip, knee",,,,,,,true
KEEPERsport,KS50012-991,KEEPERsport GK Top Regskin s/s,67524.41,1003,Torwart Trainingsoberteile,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60052-906,KEEPERsport Undershorts PowerPadded,64401.66,1005,Torwart Unterziehhosen,KEEPERsport Undershorts PowerPadded,configurable,KEEPERsport,black,Schwarz,KEEPERsport PowerPadded,Herren,,short,hip,tight,,,,,drawstring,true
KEEPERsport,KS60025-991,KEEPERsport Undershirt BasicPadded l/s,58596.58,1004,Torwart Unterziehshirts,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60031-991,KEEPERsport Underpants UnPadded 3/4,56678.25,1005,Torwart Unterziehhosen,KS60031-991,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
KEEPERsport,KS60062-906,KEEPERsport Underpants PowerPadded AntiA,56229.04,1005,Torwart Unterziehhosen,KEEPERsport Underpants PowerPadded AntiAbrasion,configurable,KEEPERsport,black,Schwarz,KEEPERsport PowerPadded,Herren,,long,hip,,,,,,drawstring,true
KEEPERsport,KS30011-991,KEEPERsport GK Pants BasicPadded 3/4,49923.22,1002,Torwarthosen,KS30011-991,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
rehab,RH6006-201,rehab GK Underpants,45236.24,1002,Torwarthosen,rehab GK Underpants,configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,"Herren, Damen",,long,"hip, knee",,,,,,,true
KEEPERsport,KS60035-407,KEEPERsport Challenge Unterziehshirt Sc,41282.41,1004,Torwart Unterziehshirts,KEEPERsport Challenge Undershirt BasicPadded l/s,configurable,KEEPERsport,"black, blue","Schwarz, Blau",KEEPERsport BasicPadded,Herren,long-sleeve,long,elbow,tight,,v-neck,"breathability, comfortable, protection, durability, cushioning",,,true
KEEPERsport,KS60007-999,KEEPERsport Torwart Unterziehshort PP S,40755.34,1005,Torwart Unterziehhosen,KEEPERsport Goalkeeper Undershorts PP,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,,short,"with-padding, hip",,,,"breathability, comfortable, sweat-management, protection, cushioning",,drawstring,true
