Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
122,KEEPERsport,KS60032-991,KEEPERsport Underpants PowerPadded 3/4,1005,Torwart Unterziehhosen,dash_pattern,KS60032-991,4839,200703.38,899,40009.4,1402,59099.34,1791,72358.75,711,27994.35,36,1241.54,0,0.0,170,6190.96,382,18558.66,347,15259.78,219,10395.31,121,5432.69,504,21303.56,558,21967.78,387,15815.36,233,10119.33,605,23978.97,566,22445.09,311,13015.87,224,8377.13,132,4996.12,44,1605.23,35,1201.45,1,40.09
122,KEEPERsport,KS60033-991,KEEPERsport Underpants PowerPadded witho,1005,Torwart Unterziehhosen,dash_pattern,KS60033-991,3700,148300.47,676,28411.07,1405,56438.88,892,34730.7,719,28393.57,8,326.25,0,0.0,11,306.42,264,12503.1,401,15601.55,189,7660.27,138,5639.09,490,20205.82,588,22933.7,217,8832.73,96,4004.06,265,10099.49,314,11794.42,265,10818.66,153,5764.81,260,10110.17,41,1699.93,8,326.25,0,0.0
122,KEEPERsport,KS60026-991,KEEPERsport Undershirt PowerPadded l/s,1004,Torwart Unterziehshirts,dash_pattern,KS60026-991,3646,133060.07,529,20759.51,1247,46375.08,1029,38461.45,823,26948.21,18,515.82,0,0.0,0,0.0,222,9688.68,307,11070.83,153,6185.16,106,4307.61,504,19077.32,484,16804.99,224,8359.97,87,3709.84,297,11747.95,421,14643.69,254,8720.88,176,5683.72,281,9089.03,112,3454.58,17,482.5,1,33.32
122,KEEPERsport,KS60030-991,KEEPERsport Undershorts PowerPadded,1005,Torwart Unterziehhosen,dash_pattern,KS60030-991,2271,74017.22,297,10204.21,599,20661.72,608,20159.07,672,20372.35,95,2619.87,0,0.0,75,2170.29,115,4233.95,107,3799.97,71,2812.75,65,2422.66,244,8035.83,219,7390.48,138,4395.99,90,3335.67,198,6715.92,182,5711.49,170,5486.42,195,5868.04,212,6601.52,95,2416.37,88,2428.54,7,191.33
122,KEEPERsport,KS60027-991,KEEPERsport Undershirt PowerPadded Colds,1004,Torwart Unterziehshirts,dash_pattern,KS60027-991,1774,73813.58,1,49.96,685,28254.14,450,20797.51,608,23547.68,30,1164.29,0,0.0,0,0.0,0,0.0,1,49.96,242,9525.2,59,2562.29,151,6695.93,233,9470.72,131,6105.15,23,1152.63,123,5678.19,173,7861.54,193,7855.97,57,2337.9,168,6723.74,190,6630.07,30,1164.29,0,0.0
122,KEEPERsport,KS60029-991,KEEPERsport Undershorts BasicPadded,1005,Torwart Unterziehhosen,dash_pattern,KS60029-991,2299,72166.67,382,12430.09,846,26531.86,836,25725.94,233,7427.13,2,51.65,0,0.0,1,33.29,173,5936.08,208,6460.72,172,5626.62,79,2620.19,345,10755.31,250,7529.74,130,4222.37,125,4303.47,224,7113.71,357,10086.39,218,7022.67,10,276.01,4,98.2,1,30.25,2,51.65,0,0.0
122,KEEPERsport,KS60055-906,KEEPERsport Underpants PowerPadded 3/4,1005,Torwart Unterziehhosen,dash_pattern,KS60055-906,1440,68840.39,0,0.0,0,0.0,0,0.0,1096,52075.39,344,16765.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,1014.72,507,27602.75,563,23457.92,325,15925.0,19,840.0
122,KEEPERsport,KS60052-906,KEEPERsport Undershorts PowerPadded,1005,Torwart Unterziehhosen,dash_pattern,KS60052-906,1786,64401.66,0,0.0,0,0.0,0,0.0,1333,48201.7,453,16199.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,842.02,656,26299.35,656,21060.33,424,15148.77,29,1051.19
122,KEEPERsport,KS60025-991,KEEPERsport Undershirt BasicPadded l/s,1004,Torwart Unterziehshirts,dash_pattern,KS60025-991,1970,58596.58,347,11733.29,531,16317.94,638,18126.59,406,11218.64,48,1200.12,0,0.0,0,0.0,124,4582.7,223,7150.59,53,1912.55,81,2354.36,169,5524.48,228,6526.55,126,3947.65,50,1604.55,240,6874.34,222,5700.05,102,2924.24,52,1573.9,128,3712.86,124,3007.64,48,1200.12,0,0.0
122,KEEPERsport,KS60031-991,KEEPERsport Underpants UnPadded 3/4,1005,Torwart Unterziehhosen,dash_pattern,KS60031-991,2110,56678.25,250,7475.76,566,15717.23,642,16126.63,651,17333.46,1,25.17,0,0.0,13,293.33,150,4855.74,87,2326.69,97,2979.88,63,1868.05,202,5559.23,204,5310.07,166,3875.7,62,1655.38,257,6478.63,157,4116.92,130,3767.82,226,5890.33,288,7518.43,7,156.88,1,25.17,0,0.0
