ItemID,ParentSKU,Schnitt,Produktgruppe,Produktart,Material_1,Material_1_pct,Material_2,Material_2_pct,Material_3,Material_3_pct,Technologien,Nachhaltigkeit
10161269,10161269_5170965_4010,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,78,Polyester,17,Polyamid,5,Ballkontrolle;Bequem;Dämpfung;Grip,
10161271,10161271_5172238_4010,Außennaht,Handschuhe,Torwarthandschuhe,Elastodien,25,Polypropylen,9,Polyester,60,Ballkontrolle;Bequem;Dämpfung;Grip;fingersave,
10170547,10170547_GK6180_000,Außennaht,Handschuhe,Torwarthandschuhe,Polyester,63,Polyurethan (thermoplastisch),37,,,Ballkontrolle;Bequem;Dämpfung;Grip;Größere Ballkontaktfläche;Individuelle Passform;fingersave,
10170549,10170549_GT9538_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,91,Elastodien,8,Nylon,1,Ballkontrolle;Bequem;Dämpfung;Grip;Haltbarkeit;Individuelle Passform,
10170550,10170550_GL4263_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,91,Elastodien,8,Polyamid,1,Ballkontrolle;Bequem;Dämpfung;Grip;Haltbarkeit;Individuelle Passform,
10170553,10170553_GK7467_000,Außennaht,Handschuhe,Torwarthandschuhe,Polyester,63,Polyurethan (thermoplastisch),37,,,Dämpfung;Schutz,
10170618,10170618_GK3508_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,45,Baumwolle,30,Polyurethan (thermoplastisch),20,Bequem;Grip;Halt;Leicht,
10171761,10171761_CN6724_406,Innennaht,Handschuhe,Spielerhandschuhe,Elastodien,67,Polyester,20,Polyurethan (thermoplastisch),13,Elastizität;Grip;Haltbarkeit;Wärmend,
10171762,10171762_CN6758_406,Innennaht,Handschuhe,Spielerhandschuhe,Elastodien,74,Polyester,19,Polyurethan (thermoplastisch),7,Bequem;Elastizität;Grip;Haltbarkeit;Wärmend,
10173742,10173742_DC1980_573,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,71,Nylon,13,Polyester,13,Atmungsaktivität;Ballkontrolle;Bequem;Haltbarkeit,
10174082,10174082_CK4871_635,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,65,Polyester,28,Nylon,5,Atmungsaktivität;Ballkontrolle;Bequem;Dämpfung;Haltbarkeit;Schutz,
10174084,10174084_CK4874_635,Innennaht,,,Elastodien,65,Polyester,28,Nylon,5,Ballkontrolle;Bequem;Grip;Größere Ballkontaktfläche;Leicht,
10174087,10174087_CK4899_635,Rollfinger,Handschuhe,Torwarthandschuhe,Elastodien,72,Polyester,23,Nylon,4,Bequem;Halt;Leicht,
10174088,10174088_CK4917_635,Außennaht,Handschuhe,Torwarthandschuhe,Elastodien,65,Polyester,28,Nylon,5,Atmungsaktivität;Bequem;Dämpfung;Haltbarkeit;Schweißableitend,
10174092,10174092_CW5818_573,Innennaht,Handschuhe,Torwarthandschuhe,Polyurethan (thermoplastisch),79,Polyester,17,Elastodien,4,Dämpfung;Grip;Größere Ballkontaktfläche;Halt,
10174869,10174869_041696_008,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,55,Elastodien,44,Polyurethan (thermoplastisch),1,Bequem;Grip;Individuelle Passform;Leicht,
10174870,10174870_041696_009,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,55,Elastodien,44,Polyurethan (thermoplastisch),1,Bequem;Grip;Individuelle Passform;Leicht,
10174871,10174871_041697_008,Außennaht,Handschuhe,Torwarthandschuhe,Elastodien,56,Polyester,43,Polyurethan (thermoplastisch),1,Bequem;Grip;Leicht,
10174872,10174872_041697_009,Außennaht,Handschuhe,Torwarthandschuhe,Elastodien,56,Polyester,43,Polyurethan (thermoplastisch),1,Bequem;Grip;Leicht,
10174873,10174873_041698_008,,Handschuhe,Torwarthandschuhe,Elastodien,56,Polyester,43,Polyurethan (thermoplastisch),1,Bequem;Grip;Leicht,
10174877,10174877_041703_002,,Handschuhe,Torwarthandschuhe,Elastodien,60,Polyurethan (thermoplastisch),34,Polyester,6,Bequem;Grip;Leicht,
10174879,10174879_041752_001,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,55,Elastodien,44,Polyurethan (thermoplastisch),1,Bequem;Dämpfung;Grip;Größere Ballkontaktfläche;Halt;Leicht,
10174880,10174880_041752_002,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,55,Elastodien,44,Polyurethan (thermoplastisch),1,Bequem;Dämpfung;Grip;Größere Ballkontaktfläche;Halt;Leicht,
10174881,10174881_041752_003,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,55,Elastodien,44,Polyurethan (thermoplastisch),1,Bequem;Dämpfung;Grip;Größere Ballkontaktfläche;Halt;Leicht,
10174884,10174884_041754_002,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,60,Polyester,39,Polyurethan (thermoplastisch),1,Bequem;Grip;Leicht,
10179470,10179470_5172900_2199,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,93,Polyester,4,Polyamid,3,Bequem;Halt;Leicht,
10180043,10180043_5170904_7701,Schmal,Handschuhe,Torwarthandschuhe,Elastodien,100,,,,,Ballkontrolle;Bequem;Halt;Leicht,
10180258,10180258_5162566_7783,Innennaht,Handschuhe,Torwarthandschuhe,Polyurethan (thermoplastisch),70,Polyester,29,Baumwolle,1,Ballkontrolle;Bequem;Halt;Leicht,
10180271,10180271_5170985_3002,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,86,Polyamid,5,Polyester,9,Ballkontrolle;Bequem;Dämpfung;Grip,
10181000,10181000_CQ7795_345,Außennaht,,Torwarthandschuhe,Polyester,40,Elastodien,33,Ethylenvinylacetat,21,Atmungsaktivität;Bequem;Grip;Halt;Haltbarkeit,
10181003,10181003_CQ7799_356,Außennaht,Handschuhe,Torwarthandschuhe,Polyester,40,Elastodien,33,Ethylenvinylacetat,21,Atmungsaktivität;Ballkontrolle;Bequem;Dämpfung;Grip;Haltbarkeit,
10182936,10182936_1011203_001,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,81,Polyester,13,Nylon,6,Bequem;Grip;Halt;Leicht,
10182937,10182937_1011206_001,Innennaht,Handschuhe,Torwarthandschuhe,Elastodien,64,Polyester,25,Nylon,7,Bequem;Grip;Halt;Leicht,
10183354,10183354_5170745_7700,,Handschuhe,Torwarthandschuhe,Elastodien,27,Polyester,20,Ethylenvinylacetat,5,Bequem;Elastizität;Grip;Haltbarkeit;Leicht,
10185413,10185413_041821_01,Rollfinger,Handschuhe,Torwarthandschuhe,Elastodien,100,,,,,Bequem;Halt;Leicht,
10186427,10186427_GR1527_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,91,Elastodien,8,Polyamid,1,Bequem;Grip;Halt;Leicht,
10186428,10186428_GR1528_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,91,Elastodien,8,Nylon,1,Atmungsaktivität;Bequem;Grip;Haltbarkeit;Bequem;Dämpfung;Grip;Schutz,
10186429,10186429_GR1529_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,91,Elastodien,8,Nylon,1,Ballkontrolle;Bequem;Dämpfung;Grip;Haltbarkeit;Individuelle Passform,
10186430,10186430_GR1530_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,91,Elastodien,8,Nylon,1,Ballkontrolle;Bequem;Dämpfung;Grip;Haltbarkeit;Individuelle Passform,
10186431,10186431_GR1531_000,Außennaht,Handschuhe,Torwarthandschuhe,Ethylenvinylacetat,83,Polyester,15,Elastodien,2,Bequem;Dämpfung;Grip;Größere Ballkontaktfläche;Haltbarkeit;Individuelle Passform;Leicht,
10186434,10186434_GR1534_000,Außennaht,Handschuhe,Torwarthandschuhe,Polyester,63,Polyurethan (thermoplastisch),37,,,Bequem;Dämpfung;Individuelle Passform;fingersave,
10186435,10186435_GR1535_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,48,Baumwolle,30,Polyurethan (thermoplastisch),22,Bequem;Grip;Halt;Leicht,
10186436,10186436_GR1536_000,Außennaht,Handschuhe,Torwarthandschuhe,Polyester,63,Polyurethan (thermoplastisch),37,,,Ballkontrolle;Bequem;Dämpfung;Grip;Größere Ballkontaktfläche;Haltbarkeit,
10186437,10186437_GR1537_000,Innennaht,Handschuhe,Torwarthandschuhe,Polyester,48,Baumwolle,30,Polyurethan (thermoplastisch),22,Ballkontrolle;Bequem;Dämpfung;Grip;Haltbarkeit;Individuelle Passform;fingersave,
