ParentSKU,Marke,ProductName,Farbcode,Current_Basisfarbe,Current_Highlight_1,Cut,Color_confidence,Resolution_source,Revenue_EUR,Flag
KS10011-091,KEEPERsport,KEEPERsport Varan6 Challenge NC TW-Hand,091,black,white,Negative Cut,high,mcp_ks,130860.0,MCP_KS_VERIFY
KS10029-091,KEEPERsport,KEEPERsport Varan7 Champ NC Whiteout TW,091,white,,Negative Cut,high,mcp_ks,121849.0,MCP_KS_VERIFY
KS10021-901,KEEPERsport,KEEPERsport Varan7 Champ NC Blackout TW,901,black,,Negative Cut,high,mcp_ks,119440.0,MCP_KS_VERIFY
KS10030-804,KEEPERsport,KEEPERsport Torwarthandschuhe Weiß,804,white,blue,Negative Cut,high,mcp_ks,115077.0,MCP_KS_VERIFY
KS10050-804,KEEPERsport,KEEPERsport Varan8 Champ Torwarthandsch,804,white,,Negative Cut,high,mcp_ks,112394.0,MCP_KS_VERIFY
KS10021-701,KEEPERsport,KEEPERsport Varan7 Champ NC TW-Handschu,701,white,blue,Negative Cut,high,mcp_ks,111436.0,MCP_KS_VERIFY
KS10022-416,KEEPERsport,KEEPERsport Varan7 Champ NC Aqua TW-Han,416,white,blue,Negative Cut,high,mcp_ks,110957.0,MCP_KS_VERIFY
KS10028-407,KEEPERsport,KEEPERsport Varan7 Challenge NC TW-Hand,407,blue,,Negative Cut,high,mcp_ks,109995.0,MCP_KS_VERIFY
KS10021-010,KEEPERsport,KEEPERsport Varan7 Champ NC TW-Handschu,010,yellow,black,Negative Cut,high,mcp_ks,105232.0,MCP_KS_VERIFY
KS10021-066,KEEPERsport,KEEPERsport Varan7 Champ NC TW-Handschu,066,red,white,Negative Cut,high,mcp_ks,104712.0,MCP_KS_VERIFY
KS10020-701,KEEPERsport,KEEPERsport Varan7 Hero NC TW-Handschuh,701,white,blue,Negative Cut,high,mcp_ks,103225.0,MCP_KS_VERIFY
KS10021-001,KEEPERsport,KEEPERsport Varan7 Champ NC Whiteout TW,001,white,,Negative Cut,high,mcp_ks,98398.0,MCP_KS_VERIFY
KS10025-010,KEEPERsport,KEEPERsport Varan7 Pro NC TW-Handschuhe,010,yellow,black,Negative Cut,high,mcp_ks,92302.0,MCP_KS_VERIFY
KS10029-909,KEEPERsport,KEEPERsport Varan7 Champ NC Blackout TW,909,black,,Negative Cut,high,mcp_ks,89731.0,MCP_KS_VERIFY
KS10025-901,KEEPERsport,KEEPERsport Varan7 Pro NC Blackout TW-H,901,black,,Negative Cut,high,mcp_ks,87609.0,MCP_KS_VERIFY
KS10027-908,KEEPERsport,KEEPERsport Varan7 Premier Resist NC,908,yellow,black,Negative Cut,high,mcp_ks,79293.0,MCP_KS_VERIFY
KS10026-010,KEEPERsport,KEEPERsport Varan7 Premier NC TW-Handsc,010,yellow,black,Negative Cut,high,mcp_ks,77938.0,MCP_KS_VERIFY
KS10026-701,KEEPERsport,KEEPERsport Varan7 Premier NC TW-Handsc,701,red,white,Negative Cut,high,mcp_ks,76183.0,MCP_KS_VERIFY
KS10025-701,KEEPERsport,KEEPERsport Varan7 Pro NC TW-Handschuhe,701,red,white,Negative Cut,high,mcp_ks,74831.0,MCP_KS_VERIFY
KS10026-907,KEEPERsport,KEEPERsport Varan7 Premier NC TW-Handsc,907,white,green,Negative Cut,high,mcp_ks,68889.0,MCP_KS_VERIFY
KS10027-563,KEEPERsport,KEEPERsport Varan7 Premier Resist NC TW,563,black,,Negative Cut,high,mcp_ks,64250.0,MCP_KS_VERIFY
