ParentSKU,Marke,MCP_Basisfarbe,Desc_Basisfarbe,Desc_colors,Revenue,Status
R5460965-7435,reusch,black,black,black/blue,64081.06,found
U1011373-001,uhlsport,white,,,55323.07,no_color_in_text
RH1004-011,rehab,white,white,white/yellow,48020.68,found
U1011375-001,uhlsport,white,,,46261.85,no_color_in_text
U1011379-001,uhlsport,white,,,44793.57,no_color_in_text
U1011371-001,uhlsport,white,,,30263.71,no_color_in_text
RH1014-375,rehab,yellow,blue,blue/white,28294.62,found
U1011378-001,uhlsport,white,,,28140.25,no_color_in_text
U1011372-001,uhlsport,white,,,26756.56,no_description
U101137301-2000,uhlsport,white,,,25261.95,no_color_in_text
U1011377-001,uhlsport,white,,,24526.63,no_color_in_text
U1011374-001,uhlsport,white,,,24335.82,no_color_in_text
P042120-01,Puma,white,,,22743.33,no_color_in_text
ETSGI6380_000,adidas,black,black,black/white,21487.44,found
10371749_JY6300_JY6300,adidas,red,,,20939.84,no_color_in_text
U101137901-2000,uhlsport,white,,,19594.57,no_color_in_text
U101132801-2000,uhlsport,white,,,19000.6,no_color_in_text
ETS5170995_4010,reusch,blue,,,18970.56,no_color_in_text
RH1005-004,rehab,yellow,black,black/yellow,18143.71,found
R5360956-5010,reusch,black,,,16974.54,no_color_in_text
ETS5170900_2199,reusch,yellow,,,14438.02,no_color_in_text
E7221901,erima,grey,,,13874.13,no_color_in_text
R5160901-4011,reusch,white,,,13804.5,no_color_in_text
U1011394012000,uhlsport,white,,,13579.4,no_color_in_text
10379386_1011373012026_01,uhlsport,black,,,12775.73,no_color_in_text
E7221904,erima,,,,12702.5,no_color_in_text
U101133301-1113,uhlsport,yellow,,,12632.18,no_color_in_text
10373884_1011398_01,uhlsport,white,,,12533.02,no_color_in_text
10379388_1011378012026_01,uhlsport,black,,,12412.28,no_color_in_text
ETS5170959_1100,reusch,white,white,white,11800.69,found
U1011376-001,uhlsport,white,,,11431.68,no_color_in_text
RH1003-011,rehab,yellow,,,11408.36,no_color_in_text
U1011333012024,uhlsport,white,,,11183.54,no_color_in_text
RH1019-811,rehab,white,white,white,11161.31,found
R5160900-3002,reusch,red,,,10855.48,no_color_in_text
ETS41763_0001,Puma,black,white,white,10419.97,found
R5470155-4411,reusch,black,,,10414.9,no_description
U1011385-001,uhlsport,blue,,,10351.86,no_color_in_text
RH1020-911,rehab,black,,,10196.82,no_color_in_text
P042064-13,Puma,black,,,9789.74,no_color_in_text
10180246_5160139_7040_7040_7701,reusch,black,,,9774.09,no_description
E7222005,erima,black,,,9596.36,no_color_in_text
R5160204-7701,reusch,black,red,red/black/white,9559.83,found
R5160209-1100,reusch,white,white,white,9544.02,found
10373882_1011396_01,uhlsport,white,,,9173.24,no_color_in_text
R5170135-4010,reusch,white,,,9090.54,no_description
R5670990-4414,reusch,blue,,,9022.22,no_color_in_text
RH1021-757,rehab,yellow,black,black,9015.82,found
U1011380-001,uhlsport,white,,,8955.06,no_color_in_text
E7221905,erima,,,,8694.96,no_color_in_text
ETS1011164_001,uhlsport,yellow,,,8667.72,no_color_in_text
U1092,uhlsport,black,,,8643.77,no_color_in_text
OG1-TYPE-R,One Glove,white,,,8512.57,no_color_in_text
E7221906,erima,red,,,8425.9,no_color_in_text
HO510802,HO Soccer,red,,,8376.11,no_color_in_text
ETS1011165_01,uhlsport,yellow,,,8340.76,no_color_in_text
ETS5170055_4949,reusch,yellow,,,8003.8,no_color_in_text
R5070735-7052,reusch,yellow,,,7965.65,no_color_in_text
10180242_5160931_7040_7701,reusch,black,,,7926.82,no_description
ETS5170990_4010_2199,reusch,blue,,,7831.9,no_color_in_text
U1138,uhlsport,yellow,,,7791.81,no_color_in_text
U101132801-1113,uhlsport,yellow,,,7778.67,no_color_in_text
R5170079-2001,reusch,yellow,,,7604.75,no_description
U1093,uhlsport,black,,,7516.02,no_color_in_text
U1143,uhlsport,yellow,,,7502.54,no_color_in_text
U1011392012000,uhlsport,white,,,7334.36,no_color_in_text
U101133201-1113,uhlsport,yellow,,,7322.85,no_description
U1140,uhlsport,yellow,,,7319.73,no_color_in_text
ETSGI6381_000,adidas,black,,,7265.6,no_color_in_text
10295819_7222406_000,erima,red,,,7256.89,no_color_in_text
10223507_7222201_000,erima,yellow,,,7226.12,no_color_in_text
SGP151623,Sells Goalkeeper,blue,,,7157.96,no_color_in_text
U1151,uhlsport,yellow,,,7111.03,no_color_in_text
E7221806,erima,blue,,,7077.63,no_color_in_text
R5070908-7701,reusch,black,,,6910.55,no_color_in_text
10323216_5460234_6027,reusch,silver,,,6279.21,no_color_in_text
10301313_041948_04,Puma,white,,,6185.99,no_color_in_text
E7221801,erima,blue,,,6171.14,no_color_in_text
EL3002900,Elite Sport,black,green,green/black,6163.15,found
R5670935-1083,reusch,white,,,6024.13,no_color_in_text
ETS5170908_1015,reusch,white,,,5983.01,no_color_in_text
10351388_042064_12,Puma,red,,,5810.01,no_color_in_text
E7221809,erima,black,,,5608.54,no_color_in_text
RH1012-013,rehab,white,,,5547.08,no_color_in_text
EL4003790,Elite Sport,black,,,5499.57,no_color_in_text
U1150,uhlsport,yellow,grey,grey,5398.86,found
OG1-MIDNIGHT,One Glove,black,,,5391.59,no_color_in_text
NGS3886-486,NIKE,white,,,5320.75,no_color_in_text
EL3003000,Elite Sport,red,red,red/white,5304.61,found
R5072200-7083,reusch,black,,,5254.92,no_color_in_text
U1158,uhlsport,black,,,5232.0,no_color_in_text
EL4003610,Elite Sport,white,,,5197.28,no_color_in_text
R5070089-7083,reusch,black,,,5182.16,no_color_in_text
ETS5172945_4010,reusch,blue,,,5107.87,no_description
OG1-TYPE-R-GLD,One Glove,white,,,5099.19,no_color_in_text
R5070915-1090,reusch,white,,,5039.84,no_color_in_text
10236860_1011267_001,uhlsport,black,,,5019.33,no_description
ETS5170025_7805,reusch,red,,,4935.06,no_color_in_text
ETS5160135_7707,reusch,black,black,black,4921.25,found
R5160666-7783,reusch,black,,,4818.69,no_description
HO520303,HO Soccer,yellow,,,4765.41,no_color_in_text
RH1022-211,rehab,white,pink,pink,4761.62,found
SGP151615,Sells Goalkeeper,blue,,,4732.97,no_color_in_text
E7221810,erima,black,,,4667.69,no_color_in_text
R3970959-883,reusch,yellow,,,4594.69,no_color_in_text
ETS5170235_4010,reusch,blue,,,4576.84,no_description
U1011388-001,uhlsport,black,,,4558.02,no_color_in_text
EL4003670,Elite Sport,black,,,4537.53,no_color_in_text
R5070916-1101,reusch,black,black,black/white,4515.71,found
R5670995-4129,reusch,blue,,,4504.2,no_color_in_text
HO520285,HO Soccer,black,,,4484.92,no_description
10295820_7222407_000,erima,grey,,,4475.5,no_color_in_text
R5070993-7083,reusch,black,,,4457.52,no_color_in_text
ETSFS0423_000,adidas,green,,,4442.32,no_description
RH1030-998,rehab,black,,,4386.97,no_color_in_text
HO0520360,HO Soccer,black,,,4378.82,no_color_in_text
ETS5170200_2199,reusch,yellow,,,4340.33,no_color_in_text
U1095,uhlsport,red,,,4209.4,no_color_in_text
HO0520371,HO Soccer,yellow,,,4099.18,no_color_in_text
R5172900-2199,reusch,yellow,,,4079.06,no_color_in_text
SGP151610,Sells Goalkeeper,black,,,4033.94,no_color_in_text
RH1022-564,rehab,white,green,green,4031.22,found
10288756_5470255_4411,reusch,blue,,,4028.52,no_description
R3270870-501,reusch,,,,3983.54,no_description
R5170745-7700,reusch,black,,,3970.84,no_description
10351267_042081_04,Puma,white,,,3933.44,no_color_in_text
R5160245-1089,reusch,white,,,3880.02,no_description
R5070205-4949,reusch,red,blue,blue/yellow,3869.73,found
U1011382-001,uhlsport,white,,,3867.69,no_color_in_text
10273103_SGP202309_000,Sells Goalkeeper,white,,,3857.04,no_color_in_text
P041829-01,Puma,,,,3855.48,no_color_in_text
EL4003850,Elite Sport,black,,,3826.53,no_color_in_text
RH1000-616,rehab,grey,,,3820.43,no_color_in_text
R5670965-4126,reusch,blue,,,3815.71,no_color_in_text
RH1000-119,rehab,blue,,,3815.56,no_color_in_text
R3470400-405,reusch,,,,3777.17,no_description
RH1006-385,rehab,red,red,red/blue,3748.83,found
R5670055-4126,reusch,blue,,,3736.16,no_color_in_text
NGS3886-100,NIKE,white,white,white,3713.43,found
10351266_042081_02,Puma,orange,,,3708.05,no_color_in_text
R5670725-4127,reusch,blue,,,3695.06,no_color_in_text
R5670964-4126,reusch,blue,,,3687.18,no_color_in_text
R5272235_6006,reusch,yellow,,,3677.29,no_description
EL4003730,Elite Sport,black,,,3676.09,no_color_in_text
U1070,uhlsport,blue,,,3672.42,no_color_in_text
HO520284,HO Soccer,green,,,3672.24,no_description
P042116-01,Puma,white,,,3620.55,no_color_in_text
HO0515172IT,HO Soccer,yellow,,,3599.64,no_color_in_text
P042115-01,Puma,white,,,3565.06,no_color_in_text
RH1006-405,rehab,black,,,3529.52,no_color_in_text
U1154,uhlsport,blue,,,3459.51,no_color_in_text
ETS1011170_001,uhlsport,yellow,,,3425.73,no_color_in_text
U1160,uhlsport,black,,,3414.04,no_color_in_text
TT202004,T1tan,yellow,,,3410.17,no_color_in_text
10351300_042118_01,Puma,pink,,,3375.22,no_color_in_text
HO0520368,HO Soccer,black,,,3361.25,no_color_in_text
HO520286,HO Soccer,white,,,3344.0,no_description
ETS5070115_1091,reusch,white,,,3319.92,no_color_in_text
HO520296,HO Soccer,green,,,3263.52,no_description
RPB70102101,gloveglu,black,,,3251.42,no_description
P041640-01,Puma,black,,,3214.29,no_color_in_text
ETS7221801_465032,erima,,,,3208.24,no_description
