Marke_Code,Marke,ParentSKU,ProductName,Basisfarbe,Highlight_1,Highlight_2,Farbbezeichnung_Hersteller,Collection,Cut,Material,Technologien,Color_confidence,Resolution_source,Resolution_detail,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
136,uhlsport,10192603_1011232_001,uhlsport Hyperact Supergrip+ HN TW-Hand,blue,white,yellow,night blau/weiß/fluo gelb,1011232,Innennaht,"81% Elastodien, 13% Polyester, 6% Nylon",Bequem;Grip;Halt;Leicht,high,11ts_iteminfo,10192603,2566,161595.07,2257,142242.58,304,19077.84,1,57.08,4,217.57,0,0.0,119,9864.54,116,9198.3,1302,78311.51,720,44868.23,210,13228.52,88,5436.77,6,412.55,0,0.0,0,0.0,1,57.08,0,0.0,0,0.0,2,108.76,1,47.19,0,0.0,1,61.62,0,0.0,0,0.0
122,KEEPERsport,KS10011-091,KEEPERsport Varan6 Challenge NC TW-Hand,white,black,,,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=091,4317,130859.79,802,25786.1,2306,69413.96,1043,30476.78,151,4749.42,15,433.53,0,0.0,0,0.0,0,0.0,802,25786.1,604,20257.22,404,12068.19,853,24146.44,445,12942.11,310,8721.87,134,3999.27,447,12968.15,152,4787.49,43,1346.47,23,761.82,57,1809.66,28,831.47,14,408.98,1,24.55
115,adidas,10276773_IQ4033_000,adidas Predator Pro TW-Handschuhe Night,black,black,black,black/black/black,KMR46,Innennaht,"89% Polyester, 10% Elastodien, 1% Polyamid",Ballkontrolle;Bequem;Dämpfung;Schutz,high,11ts_iteminfo,10276773,1970,128797.84,0,0.0,0,0.0,1587,106046.11,382,22690.64,1,61.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,3582.67,327,21556.93,721,48848.2,499,32058.31,223,14219.09,143,7676.0,15,734.26,1,61.29,1,61.09,0,0.0
122,KEEPERsport,KS10029-091,KEEPERsport Varan7 Champ NC Whiteout TW,white,,,,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=091,3275,121849.15,0,0.0,391,16963.78,1528,59714.64,1342,44614.45,14,556.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,873.88,153,7040.54,214,9049.36,160,7635.05,123,6129.08,704,26861.51,541,19089.0,505,17357.23,507,15940.47,306,10357.98,24,958.77,10,403.08,4,153.2
115,adidas,10348240_JZ3200_JZ3200,adidas Predator Hybrid Torwarthandschuh,white,blue,,white/broyal/silvmt,CT101,,"80% Polyester, 20% Polyurethan (thermoplastisch)",Bequem,high,11ts_iteminfo,10348240,1656,119711.29,0,0.0,0,0.0,0,0.0,1239,95454.77,417,24256.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,719,62290.37,520,33164.4,375,21953.5,42,2303.02
122,KEEPERsport,KS10021-901,KEEPERsport Varan7 Champ NC Blackout TW,black,,,Blackout (Schwarz),KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=901,2559,119440.18,321,15183.62,2228,103901.22,5,196.66,5,158.68,0,0.0,0,0.0,0,0.0,0,0.0,321,15183.62,500,27280.6,655,29128.14,991,43884.88,82,3607.6,1,39.01,4,157.65,0,0.0,0,0.0,0,0.0,5,158.68,0,0.0,0,0.0,0,0.0,0,0.0
136,uhlsport,10292791_1011330_001,uhlsport Prediction Supergrip+ HN TW-Ha,black,yellow,white,blue,1011331,,"81% Elastodien, 9% Polyester, 6% Nylon",Atmungsaktivität;Bequem;Dämpfung;Haltbarkeit,high,11ts_iteminfo,10292791,1706,118994.69,0,0.0,0,0.0,162,14786.34,1533,103526.71,11,681.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,428.57,75,7427.86,83,6929.91,114,9868.19,225,15847.01,747,50027.62,447,27783.89,11,681.64,0,0.0
122,KEEPERsport,KS10030-804,KEEPERsport Torwarthandschuhe Weiß,white,blue,,Demon,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=804,2225,115077.36,0,0.0,0,0.0,729,36198.5,1476,77663.53,20,1215.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,62,2139.36,371,19377.06,296,14682.08,249,13233.13,424,22023.07,693,36921.97,110,5485.36,20,1215.33,0,0.0
122,KEEPERsport,KS10050-804,KEEPERsport Varan8 Champ Torwarthandsch,white,,,Demon,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=804,2859,112393.64,0,0.0,0,0.0,842,27709.57,1959,82208.76,58,2475.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131,2717.35,479,16125.26,232,8866.96,324,13998.36,462,19080.76,774,33977.15,399,15152.49,57,2438.12,1,37.19
115,adidas,10246699_HN3347_000,adidas Predator Pro Torwarthandschuhe N,black,,,black/black/black,M3569,Innennaht,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Ballkontrolle;Bequem;Dämpfung;Elastizität;Grip;Leicht;Schutz,high,11ts_iteminfo,10246699,1614,112265.97,0,0.0,1221,88481.99,390,23705.03,3,78.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,121,11305.36,142,10574.24,504,35435.93,454,31166.46,268,16741.57,87,4926.71,34,1976.47,1,60.28,1,20.17,2,58.78,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10021-701,KEEPERsport Varan7 Champ NC TW-Handschu,white,blue,,,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=701,2897,111435.74,0,0.0,628,24511.99,2067,79001.47,202,7922.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,181,7407.14,447,17104.85,366,14389.15,214,9540.88,919,35310.02,568,19761.42,131,5206.17,25,1000.01,40,1498.54,6,217.56,0,0.0,0,0.0
122,KEEPERsport,KS10022-416,KEEPERsport Varan7 Champ NC Aqua TW-Han,blue,white,,Aqua,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=416,2858,110957.49,0,0.0,1494,59485.27,1312,49333.76,45,1849.55,7,288.91,0,0.0,0,0.0,0,0.0,0,0.0,183,7200.09,362,15184.82,404,16716.61,545,20383.75,371,13992.4,256,10060.56,607,22259.33,78,3021.47,10,412.53,8,368.82,13,472.7,14,595.5,7,288.91,0,0.0
122,KEEPERsport,KS10028-407,KEEPERsport Varan7 Challenge NC TW-Hand,blue,,,,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=407,6471,109994.76,1220,23733.7,2314,44505.64,2330,34056.07,602,7631.41,5,67.94,0,0.0,0,0.0,840,16106.91,380,7626.79,355,7850.5,331,7322.43,815,14565.56,813,14767.15,538,8811.05,302,5463.83,949,12540.48,541,7240.71,167,2415.35,224,2641.27,154,1876.5,57,698.29,5,67.94,0,0.0
122,KEEPERsport,KS10021-010,KEEPERsport Varan7 Champ NC TW-Handschu,black,yellow,,Schwarz (Handschuhe),KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=010,2618,105231.95,1507,60572.74,943,37882.73,101,4306.16,59,2206.3,8,264.02,162,5886.86,179,6087.21,526,23207.89,640,25390.78,215,9936.15,312,11918.38,312,11860.13,104,4168.07,29,1255.79,15,609.68,32,1362.49,25,1078.2,32,1206.07,5,173.79,6,223.11,16,603.33,7,236.15,1,27.87
122,KEEPERsport,KS10021-066,KEEPERsport Varan7 Champ NC TW-Handschu,white,red,,,,Innennaht (NC),,,high,ks_katalog,FC=066,2513,104711.72,343,13295.49,1958,82602.74,209,8700.42,3,113.07,0,0.0,0,0.0,0,0.0,0,0.0,343,13295.49,504,20697.23,409,17438.57,750,32101.48,295,12365.46,157,6509.96,33,1399.93,16,698.01,3,92.52,0,0.0,3,113.07,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10020-701,KEEPERsport Varan7 Hero NC TW-Handschuh,white,blue,,,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=701,2053,103224.67,0,0.0,691,38250.36,1132,53792.62,228,11080.93,2,100.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,261,16558.34,430,21692.02,188,9912.22,111,5398.35,417,21010.14,416,17471.91,170,8160.25,36,1692.55,19,1085.62,3,142.51,2,100.76,0,0.0
115,adidas,10229159_HF9726_000,adidas Predator Pro NC Shadowportal TW-,black,yellow,black,black/tmsoye/black,BU244,Innennaht,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Dämpfung;Grip;Haltbarkeit,high,11ts_iteminfo,10229159,1444,99950.83,1001,70238.29,443,29712.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,155,13077.54,846,57160.75,242,17635.57,197,11861.58,4,215.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10021-001,KEEPERsport Varan7 Champ NC Whiteout TW,white,,,Eagle (Schwarz),KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=001,2171,98398.32,2040,92429.75,113,5317.57,18,651.0,0,0.0,0,0.0,333,16440.2,366,17894.35,1154,49898.74,187,8196.46,38,1864.9,29,1318.85,34,1619.99,12,513.83,3,110.62,5,184.98,8,299.66,2,55.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10025-010,KEEPERsport Varan7 Pro NC TW-Handschuhe,black,yellow,,Schwarz (Handschuhe),KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=010,2424,92302.37,2165,82060.62,253,10054.28,6,187.47,0,0.0,0,0.0,204,7622.97,400,14821.39,1269,48353.03,292,11263.23,128,5399.17,45,1824.85,64,2279.57,16,550.69,0,0.0,3,99.87,3,87.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10263653_IP9174_000,adidas Predator Pro Hybrid Nightstrike,black,,,schwarz,IP9174,Hybrid,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Ballkontrolle;Dämpfung;Grip;Halt;Haltbarkeit;Leicht;Schutz,high,11ts_iteminfo,10263653,1285,92195.45,0,0.0,897,67023.27,384,24918.72,4,253.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,333,27110.45,564,39912.82,333,21476.42,36,2254.03,12,980.56,3,207.71,1,69.7,3,183.76,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10029-909,KEEPERsport Varan7 Champ NC Blackout TW,black,,,Blackout (Schwarz),KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=909,1983,89731.01,0,0.0,917,44159.72,1053,45055.38,10,408.7,3,107.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1069.11,302,17272.62,595,25817.99,223,10341.84,147,7234.5,502,20265.3,181,7213.74,8,331.15,3,116.1,-1,-38.55,0,0.0,3,107.21,0,0.0
122,KEEPERsport,KS10025-901,KEEPERsport Varan7 Pro NC Blackout TW-H,black,,,Blackout (Schwarz),KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=901,2577,87608.71,26,1127.78,2011,70065.14,538,16370.7,2,45.09,0,0.0,0,0.0,0,0.0,0,0.0,26,1127.78,251,10998.19,354,12901.28,846,27635.92,560,18529.75,155,5377.45,306,8601.28,61,1861.35,16,530.62,1,24.64,1,20.45,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10251696_IJ1870_000,adidas Predator Pro Torwarthandschuhe P,white,,,white/white/white,M3569,Innennaht,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Ballkontrolle;Bequem;Dämpfung;Elastizität;Grip;Leicht;Schutz,high,11ts_iteminfo,10251696,1324,87527.01,0,0.0,713,50815.69,609,36630.36,2,80.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,65,5872.25,103,7913.83,338,22911.16,207,14118.45,272,17115.12,233,13235.86,98,5878.46,6,400.92,0,0.0,4,176.71,-2,-95.75,0,0.0,0,0.0,0,0.0
115,adidas,10228598_HC0616_000,adidas Predator Pro HC Game Data TW-Han,red,green,green,solred/tmsogr/tmsogr,TS333,Hybrid,"91% Polyester, 8% Elastodien, 1% Nylon",Atmungsaktivität;Dämpfung;Grip;Haltbarkeit,high,11ts_iteminfo,10228598,1146,82024.02,1080,77499.23,63,4366.44,0,0.0,3,158.35,0,0.0,0,0.0,0,0.0,528,40775.34,552,36723.89,43,3178.85,17,1019.05,1,60.87,2,107.67,0,0.0,0,0.0,0,0.0,0,0.0,1,58.78,2,99.57,0,0.0,0,0.0,0,0.0,0,0.0
