Marke,ParentSKU,ProductName,ItemID,Producer,ProducerArticleNumber,Variant,Herstellermodell,Marketingperiode,LaunchDate,ArticleGroup,CanonicalCategoryId,Color1,Color2,Color3,HerstellerFarbbezeichnung,Active,SapMaterialNumber
reusch,10161269_5170965_4010,Reusch Attrakt Freegel Fusion TW-Handsc,10161269,Reusch,5170965,Reu_E_TWH,5170965,202012,2020-12-18,104090,401,blau,,,deep blue / deep blue,true,5170965-4010
reusch,10161271_5172238_4010,Reusch Attrakt Grip TW-Handschuh Junior,10161271,Reusch,5172810,Reu_K_TWH,5172810,202012,2020-12-18,104090,401,blau,,,deep blue / white,true,5172810-4011
adidas,10170547_GK6180_000,adidas Predator MTC Torwarthandschuh Pi,10170547,adidas,GK6180,Adi_E_TWH,adi1670,202108,2021-08-03,104090,399,pink,lila,schwarz,shopnk/cpurpl/black/,true,GK6180
adidas,10170549_GT9538_000,adidas Predator Pro Marvel X-Men Torwar,10170549,adidas,GT9538,Adi_E_TWH,adi1672,202104,2021-06-18,104090,399,gelb,schwarz,silber,byello/black/silvmt/,true,GT9538
adidas,10170550_GL4263_000,adidas Predator Pro Superspectral TW-Ha,10170550,adidas,GL4263,Adi_E_TWH,adi1672,202104,2021-06-14,104090,399,schwarz,pink,lila,black/shopnk/cpurpl/,true,GL4263
adidas,10170553_GK7467_000,adidas Predator TRN TW-Handschuh Schwar,10170553,adidas,GK7467,Adi_E_TWH,adi1682,202104,2021-05-03,104090,399,schwarz,pink,,black/shopnk,true,GK7467
adidas,10170618_GK3508_000,adidas X Pro Superspectral Torwarthands,10170618,adidas,GK3508,Adi_E_TWH,adi2883,202104,2021-05-03,104090,399,pink,schwarz,orange,shopnk/black/scrora,true,GK3508
NIKE,10171761_CN6724_406,Nike Phantom Elite Torwarthandschuh Bla,10171761,Nike,CN6724,Nike_E_TWH,CN6724,202101,2020-12-08,104090,409,blau,schwarz,silber,photo blue/black/silver,true,CN6724-406
NIKE,10171762_CN6758_406,Nike Phantom Shadow Torwarthandschuh Bl,10171762,Nike,CN6758,Nike_E_TWH,CN6758,202101,2020-12-08,104090,409,blau,schwarz,silber,photo blue/black/silver,true,CN6758-406
NIKE,10173742_DC1980_573,Nike Mercurial Touch Elite Torwarthands,10173742,Nike,DC1980,Nike_E_TWH,DC1980,202101,2021-02-03,104090,409,lila,schwarz,gruen,dark raisin/black/rage green,true,DC1980-573
