Marke,ParentSKU,ProductName,Revenue_total,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Cut,MCP_Surface,MCP_Features,MCP_Gender,MCP_resolved
KEEPERsport,KS10011-091,KEEPERsport Varan6 Challenge NC TW-Hand,130859.79,KEEPERsport Varan6 Champ NC TW-Hand,configurable,KEEPERsport,"black, white","Schwarz, Weiß",KEEPERsport Varan,Innennaht (NC),Trocken,,Herren,true
KEEPERsport,KS10029-091,KEEPERsport Varan7 Champ NC Whiteout TW,121849.15,KEEPERsport Varan7 Champ NC Whiteout,configurable,KEEPERsport,white,Weiß,KEEPERsport Varan,Innennaht (NC),Trocken,"Atmungsaktivität, Bequem, Dämpfung, Grip, Halt, Haltbarkeit, Schutz","Herren, Damen",true
KEEPERsport,KS10021-901,KEEPERsport Varan7 Champ NC Blackout TW,119440.18,KS10021-901,configurable,KEEPERsport,black,Schwarz,KEEPERsport Varan,Innennaht (NC),Trocken,"Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10030-804,KEEPERsport Torwarthandschuhe Weiß,115077.36,KEEPERsport Varan8 Hero NC,configurable,KEEPERsport,"white, blue","Weiß, Blau",KEEPERsport Varan,Innennaht (NC),"Normaler Rasen, Trocken","Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10050-804,KEEPERsport Varan8 Champ Torwarthandsch,112393.64,KEEPERsport Varan8 Champ NC,configurable,KEEPERsport,white,Weiß,KEEPERsport Varan,Innennaht (NC),"Normaler Rasen, Trocken","Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10021-701,KEEPERsport Varan7 Champ NC TW-Handschu,111435.74,KEEPERsport Varan7 Champ NC,configurable,KEEPERsport,"white, blue","Weiß, Blau",KEEPERsport Varan,Innennaht (NC),"Normaler Rasen, Trocken","Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10022-416,KEEPERsport Varan7 Champ NC Aqua TW-Han,110957.49,KEEPERsport Varan7 Champ NC Aqua,configurable,KEEPERsport,"white, blue","Weiß, Blau",KEEPERsport Varan,Innennaht (NC),Nässe / Regen,"Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10028-407,KEEPERsport Varan7 Challenge NC TW-Hand,109994.76,KEEPERsport Varan7 Challenge NC,configurable,KEEPERsport,blue,Blau,KEEPERsport Varan,Innennaht (NC),"Normaler Rasen, Trocken","Bequem, Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10021-010,KEEPERsport Varan7 Champ NC TW-Handschu,105231.95,KEEPERsport Varan7 Champ NC,configurable,KEEPERsport,"yellow, black","Gelb, Schwarz",KEEPERsport Varan,Innennaht (NC),Trocken,"Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10021-066,KEEPERsport Varan7 Champ NC TW-Handschu,104711.72,KEEPERsport Varan7 Champ NC,configurable,KEEPERsport,"red, white","Rot, Weiß",,Innennaht (NC),Trocken,"Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10020-701,KEEPERsport Varan7 Hero NC TW-Handschuh,103224.67,KEEPERsport Varan7 Hero NC,configurable,KEEPERsport,"white, blue","Weiß, Blau",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip","Herren, Damen",true
KEEPERsport,KS10021-001,KEEPERsport Varan7 Champ NC Whiteout TW,98398.32,KEEPERsport Varan7 Champ NC Whiteout,configurable,KEEPERsport,white,Weiß,KEEPERsport Varan,Innennaht (NC),Trocken,"Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10025-010,KEEPERsport Varan7 Pro NC TW-Handschuhe,92302.37,KEEPERsport Varan7 Pro NC,configurable,KEEPERsport,"yellow, black","Gelb, Schwarz",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip, Individuelle Passform, Ballkontrolle","Herren, Damen",true
KEEPERsport,KS10029-909,KEEPERsport Varan7 Champ NC Blackout TW,89731.01,KEEPERsport Varan7 Champ NC Blackout,configurable,KEEPERsport,black,Schwarz,KEEPERsport Varan,Innennaht (NC),Trocken,"Atmungsaktivität, Bequem, Dämpfung, Grip, Halt, Haltbarkeit, Schutz","Herren, Damen",true
KEEPERsport,KS10025-901,KEEPERsport Varan7 Pro NC Blackout TW-H,87608.71,KEEPERsport Varan7 Pro NC Blackout,configurable,KEEPERsport,black,Schwarz,KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip, Individuelle Passform, Ballkontrolle","Herren, Damen",true
KEEPERsport,KS10027-908,KEEPERsport Varan7 Premier Resist NC,79293.08,KEEPERsport Varan7 Premier Resist NC,configurable,KEEPERsport,"yellow, black","Gelb, Schwarz",KEEPERsport Varan,Innennaht (NC),"Kunstrasen / Halle / Bolzplatz, Kunstrasen / Hartplatz","Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10026-010,KEEPERsport Varan7 Premier NC TW-Handsc,77937.73,KEEPERsport Varan7 Premier NC,configurable,KEEPERsport,"yellow, black","Gelb, Schwarz",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10052-452,KEEPERsport Varan8 Champ NC AQUA,77148.97,KEEPERsport Varan8 Champ NC AQUA,configurable,KEEPERsport,"white, blue","Weiß, Blau","KEEPERsport Varan, Champ",Innennaht (NC),"Rasen nass, Nässe / Regen",,Herren,true
KEEPERsport,KS10026-701,KEEPERsport Varan7 Premier NC TW-Handsc,76183.09,KEEPERsport Varan7 Premier NC,configurable,KEEPERsport,"red, white","Rot, Weiß",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10025-701,KEEPERsport Varan7 Pro NC TW-Handschuhe,74830.65,KEEPERsport Varan7 Pro NC,configurable,KEEPERsport,"red, white","Rot, Weiß",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip, Individuelle Passform, Ballkontrolle","Herren, Damen",true
KEEPERsport,KS10029-454,KEEPERsport Varan7 Champ NC TW-Handschu,74659.72,,,,,,,,,,,true
KEEPERsport,KS10026-907,KEEPERsport Varan7 Premier NC TW-Handsc,68888.79,KEEPERsport Varan7 Premier NC,configurable,KEEPERsport,"white, green","Weiß, Grün",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10027-563,KEEPERsport Varan7 Premier Resist NC TW,64250.34,KEEPERsport Varan7 Premier Resist NC,configurable,KEEPERsport,black,Schwarz,KEEPERsport Varan,Innennaht (NC),Kunstrasen / Halle / Bolzplatz,"Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
reusch,R5460965-7435,reusch Attrakt Gold X,64081.06,reusch Attrakt Gold X #KSEdition,configurable,REUSCH,"black, blue","Schwarz, Blau",Reusch Attrakt,Hybrid (Mix),Trocken,,,true
KEEPERsport,KS10030-903,KEEPERsport Varan8 Hero NC,63437.89,KEEPERsport Varan8 Hero NC,configurable,KEEPERsport,black,Schwarz,"KEEPERsport Varan, Hero",Innennaht (NC),"Normaler Rasen, Trocken",,"Herren, Damen",true
KEEPERsport,KS10070-804,KEEPERsport Varan8 Pro NC TW-Handschuhe,63147.54,KEEPERsport Varan8 Pro NC,configurable,KEEPERsport,"white, blue","Weiß, Blau",KEEPERsport Varan,Innennaht (NC),Trocken,"Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10021-471,KEEPERsport Varan7 Champ NC TW-Handschu,62329.92,KEEPERsport Varan7 Champ NC,configurable,KEEPERsport,"black, turquoise","Schwarz, Türkis",KEEPERsport Varan,Innennaht (NC),Trocken,"Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10026-066,KEEPERsport Varan7 Premier NC TW-Handsc,61458.51,KEEPERsport Varan7 Premier NC,configurable,KEEPERsport,"red, white","Rot, Weiß",,Innennaht (NC),Trocken,"Bequem, Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10020-066,KEEPERsport Varan7 Hero NC TW-Handschuh,58862.62,MYSTERY Triple Pack BRONZE,configurable,2XU,"red, white","Rot, Weiß",KEEPERsport Varan,Innennaht (NC),,"Bequem, Dämpfung, Grip","Herren, Damen",true
KEEPERsport,KS10025-066,KEEPERsport Varan7 Pro NC TW-Handschuhe,58817.56,KEEPERsport Varan7 Pro NC,configurable,KEEPERsport,"red, white","Rot, Weiß",,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip, Individuelle Passform, Ballkontrolle","Herren, Damen",true
KEEPERsport,KS10020-471,KEEPERsport Varan7 Hero NC TW-Handschuh,58680.99,KEEPERsport Varan7 Hero NC,configurable,KEEPERsport,"black, turquoise","Schwarz, Türkis",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip","Herren, Damen",true
KEEPERsport,KS10040-804,KEEPERsport Varan8 Premier NC Torwartha,58150.12,KEEPERsport Varan8 Premier NC,configurable,KEEPERsport,"white, blue","Weiß, Blau",KEEPERsport Varan,Innennaht (NC),"Normaler Rasen, Trocken","Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10028-701,KEEPERsport Varan7 Challenge NC TW-Hand,57771.35,KEEPERsport Varan7 Challenge NC,configurable,KEEPERsport,blue,Blau,KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Grip, Halt, Ballkontrolle, Leicht",Herren,true
KEEPERsport,KS10060-804,KEEPERsport Varan8 Challenge NC,56961.94,KEEPERsport Varan8 Challenge NC,configurable,KEEPERsport,white,Weiß,KEEPERsport Varan,Innennaht (NC),"Normaler Rasen, Trocken","Grip, Halt, Ballkontrolle, Leicht",Herren,true
uhlsport,U1011373-001,uhlsport FM Cybertec Ultragrip HN Torwa,55323.07,Uhlsport Cybertec Ultragrip HN,configurable,uhlsport,"white, blue","Weiß, Blau",uhlsport Fangmaschine,Innennaht (NC),"Normaler Rasen, Trocken",,,true
KEEPERsport,KS10050-903,KEEPERsport Varan8 Champ NC Demon Torwa,54512.43,KEEPERsport Varan8 Champ NC,configurable,KEEPERsport,black,Schwarz,"KEEPERsport Varan, Champ",Innennaht (NC),"Normaler Rasen, Trocken",,"Herren, Damen",true
KEEPERsport,KS10025-471,KEEPERsport Varan7 Pro NC TW-Handschuhe,52383.25,KEEPERsport Varan7 Pro NC,configurable,KEEPERsport,turquoise,Türkis,KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip, Individuelle Passform, Ballkontrolle","Herren, Damen",true
KEEPERsport,KS10020-001,KEEPERsport Varan7 Hero NC Blackout TW-,51135.73,KEEPERsport Varan7 Hero NC Blackout,configurable,KEEPERsport,"black, white","Schwarz, Weiß",KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Grip, Halt, Leicht","Herren, Damen",true
KEEPERsport,KS10022-406,KEEPERsport Varan7 Champ NC Aqua TW-Han,50566.14,KEEPERsport Varan7 Champ NC Aqua,configurable,KEEPERsport,blue,Blau,KEEPERsport Varan,"Innennaht (NC), Schmal",Nässe / Regen,"Bequem, Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
rehab,RH1004-011,rehab Core CG1 NC,48020.68,rehab Core CG1 NC,configurable,rehab goalkeeping,white,Weiß,rehab Core,Innennaht (NC),"Normaler Rasen, Trocken","Bequem, Grip, Halt",Herren,true
uhlsport,U1011375-001,uhlsport FM Cybertec Supergrip+ HN Torw,46261.85,Uhlsport Cybertec Supergrip+ HN,configurable,uhlsport,"white, blue","Weiß, Blau",Uhlsport Supergrip+,Innennaht (NC),"Normaler Rasen, Trocken",,,true
uhlsport,U1011379-001,uhlsport FM Cybertec Absolutgrip HN Tor,44793.57,Uhlsport Cybertec Absolutgrip HN,configurable,uhlsport,"white, blue","Weiß, Blau",Uhlsport Absolutgrip,Innennaht (NC),"Normaler Rasen, Trocken",,,true
KEEPERsport,KS10023-066,KEEPERsport Varan7 Champ Power TW-Hands,44273.15,KEEPERsport Varan7 Champ Power,configurable,KEEPERsport,"red, white","Rot, Weiß",KEEPERsport Varan,Hybrid (Mix),Trocken,"Bequem, Dämpfung, Grip, Größere Ballkontaktfläche, Individuelle Passform, Ballkontrolle, Haltbarkeit, Leicht, Elastizität",Herren,true
KEEPERsport,KS10051-804,KEEPERsport Varan8 Champ Power Demon To,44234.0,KEEPERsport Varan8 Champ Power,configurable,KEEPERsport,"black, green","Schwarz, Grün",KEEPERsport Varan,"Innennaht (NC), Hybrid (Mix)","Normaler Rasen, Trocken","Grip, Halt, Ballkontrolle, Leicht","Herren, Damen",true
KEEPERsport,KS10030-423,KEEPERsport Varan8 Hero NC Torwarthands,43934.14,KEEPERsport Varan8 Hero NC,configurable,KEEPERsport,blue,Blau,KEEPERsport Varan,Innennaht (NC),Trocken,"Bequem, Dämpfung, Grip",Herren,true
