Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
122,KEEPERsport,KS60030-991,KEEPERsport Undershort PowerPadded Schw,1002,Torwarthosen,dash_pattern,KS60030-991,4222,142685.94,844,30003.66,1373,47174.96,1313,43503.49,692,22003.83,0,0.0,0,0.0,125,4131.56,401,14740.11,318,11131.99,153,6005.37,131,4975.47,595,20244.65,494,15949.47,309,9969.43,137,5104.63,521,17311.83,346,11117.6,268,9051.88,280,8472.19,141,4372.57,3,107.19,0,0.0,0,0.0
122,KEEPERsport,KS20004-991,KEEPERsport GK Pants BasicPadded,1002,Torwarthosen,dash_pattern,KS20004-991,3160,94737.3,0,0.0,624,18831.19,1218,36925.64,1008,29174.67,310,9805.8,0,0.0,0,0.0,0,0.0,0,0.0,56,1799.94,89,2837.15,130,4124.45,349,10069.65,274,8344.85,102,3297.8,294,9160.42,548,16122.57,221,6460.4,147,4439.14,186,5693.37,454,12581.76,298,9419.48,12,386.32
122,KEEPERsport,KS30011-991,KEEPERsport GK Pants BasicPadded 3/4,1002,Torwarthosen,dash_pattern,KS30011-991,1831,49923.22,0,0.0,534,15188.79,624,16325.89,532,14199.6,141,4208.94,0,0.0,0,0.0,0,0.0,0,0.0,59,1697.94,98,2909.61,170,5094.07,207,5487.17,158,3882.33,97,2932.59,228,5645.85,141,3865.12,98,2895.22,85,2468.55,166,4210.1,183,4625.73,133,3972.75,8,236.19
129,rehab,RH6006-201,rehab GK Underpants,1002,Torwarthosen,dash_pattern,RH6006-201,1554,45236.24,0,0.0,0,0.0,337,11572.48,893,24423.16,324,9240.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,181,6252.77,156,5319.71,220,6382.36,99,2880.72,38,1098.05,536,14062.03,309,8818.17,15,422.43
122,KEEPERsport,KS30012-991,KEEPERsport GK Pants RobustPadded 3/4,1002,Torwarthosen,dash_pattern,KS30012-991,847,28819.55,0,0.0,289,10742.05,297,10047.24,234,7265.64,27,764.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,1438.55,131,4899.14,123,4404.36,73,2471.32,35,1443.31,105,3510.08,84,2622.53,80,2400.16,36,1215.49,60,2000.5,58,1649.49,24,688.67,3,75.95
129,rehab,RH6004-201,Rehab GK Underwear Shorts Schwarz,1002,Torwarthosen,dash_pattern,RH6004-201,1002,26915.65,0,0.0,0,0.0,238,6772.44,577,14998.63,187,5144.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,125,3812.0,113,2960.44,124,3183.44,154,4053.36,48,1313.67,251,6448.16,177,4884.81,10,259.77
122,KEEPERsport,KS30013-407,KEEPERsport Challenge GK-Pants  3/4,1002,Torwarthosen,dash_pattern,KS30013-407,1932,25038.07,521,6260.73,525,8223.59,750,9346.92,133,1175.38,3,31.45,0,0.0,0,0.0,268,2468.86,253,3791.87,118,1988.79,131,1877.92,165,2622.5,111,1734.38,69,1164.81,185,2550.76,369,4192.66,127,1438.69,33,316.2,46,367.3,46,405.71,8,86.17,3,31.45,0,0.0
129,rehab,RH6006K-201,Rehab GK Underwear Tight Kids Schwarz,1002,Torwarthosen,dash_pattern,RH6006K-201,630,18192.11,0,0.0,0,0.0,144,4741.04,408,11060.1,78,2390.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49,1649.0,95,3092.04,78,2264.15,52,1365.74,23,702.1,255,6728.11,77,2366.08,1,24.89
129,rehab,RH2001-004,Rehab Goalkeeper Pants (anthracite),1002,Torwarthosen,dash_pattern,RH2001-004,846,17888.84,303,6874.48,470,9615.53,69,1361.52,4,37.31,0,0.0,45,1024.52,54,1253.78,64,1456.67,140,3139.51,170,2884.03,37,872.76,126,2815.2,137,3043.54,11,259.5,15,324.7,17,345.12,26,432.2,2,24.01,1,13.22,1,0.08,0,0.0,0,0.0,0,0.0
129,rehab,RH3002-004,rehab GK Pants 3/4 (anthracite),1002,Torwarthosen,dash_pattern,RH3002-004,835,17658.71,236,5344.23,306,7119.48,111,2093.37,158,2687.52,24,414.11,34,710.43,67,1525.83,88,2029.5,47,1078.47,51,1118.56,135,3226.7,91,2131.49,29,642.73,16,337.22,13,262.19,44,860.77,38,633.19,44,796.29,57,949.42,23,374.78,34,567.03,24,414.11,0,0.0
122,KEEPERsport,KS60018-633,KEEPERsport Unterziehhose PP Hero F633,1002,Torwarthosen,dash_pattern,KS60018-633,405,17468.22,307,13375.39,87,3682.26,11,410.57,0,0.0,0,0.0,38,1927.41,51,2411.07,123,5194.9,95,3842.01,27,1174.87,10,387.98,37,1669.07,13,450.34,7,259.83,3,115.9,1,34.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS60029-991,KEEPERsport Unterziehose Basicpadded Sc,1002,Torwarthosen,dash_pattern,KS60029-991,543,17123.94,61,1950.5,199,6242.05,175,5542.29,108,3389.1,0,0.0,0,0.0,0,0.0,33,1103.62,28,846.88,28,882.16,31,988.5,86,2657.88,54,1713.51,28,933.64,17,509.62,68,2319.54,62,1779.49,85,2723.84,23,665.26,0,0.0,0,0.0,0,0.0,0,0.0
129,rehab,RH3000-999,Rehab Torwarthose 3/4 Pant Schwarz F999,1002,Torwarthosen,dash_pattern,RH3000-999,1299,15481.69,963,11174.14,279,3486.67,29,379.1,25,397.01,3,44.77,108,1379.36,235,2822.59,478,5281.24,142,1690.95,71,878.34,146,1863.46,34,413.78,28,331.09,6,115.07,17,158.44,2,39.32,4,66.27,7,104.48,6,88.47,9,148.79,3,55.27,3,44.77,0,0.0
136,uhlsport,U5617,uhlsport Standard GK-Pants,1002,Torwarthosen,legacy,,445,13993.39,127,3899.51,132,4207.07,118,3756.63,57,1780.92,11,349.26,22,690.22,9,284.26,46,1438.25,50,1486.78,43,1455.11,15,476.62,37,1148.65,37,1126.69,43,1373.54,14,454.59,34,1080.92,27,847.58,18,564.23,11,348.92,14,426.43,14,441.34,11,349.26,0,0.0
136,uhlsport,U5618,uhlsport Anatomic GK-Pants,1002,Torwarthosen,legacy,,314,13329.05,67,3060.53,86,3748.01,87,3564.6,61,2448.45,13,507.46,15,735.03,5,225.34,19,862.79,28,1237.37,30,1337.47,15,680.93,23,979.71,18,749.9,19,808.14,14,648.17,29,1152.81,25,955.48,12,477.73,12,499.03,16,589.13,21,882.56,12,460.64,1,46.82
122,KEEPERsport,KS30003-999,KEEPERsport Training 3/4 Torwarthose BP,1002,Torwarthosen,dash_pattern,KS30003-999,569,13195.94,308,7994.5,190,4301.47,69,882.64,2,17.33,0,0.0,96,2480.46,101,2638.04,69,1779.89,42,1096.11,31,818.91,52,1202.76,53,1154.99,54,1124.81,12,263.25,13,160.62,35,378.26,9,80.51,0,0.0,2,17.33,0,0.0,0,0.0,0,0.0,0,0.0
136,uhlsport,U5638-02,Uhlsport Bionikframe Padded Short black,1002,Torwarthosen,legacy,,275,12442.42,13,636.59,80,3697.96,94,4397.33,80,3372.6,8,337.94,0,0.0,0,0.0,0,0.0,13,636.59,9,482.5,11,563.17,29,1324.43,31,1327.86,23,1113.5,18,810.34,48,2268.67,5,204.82,13,541.95,20,842.39,42,1755.02,5,233.24,7,297.19,1,40.75
129,rehab,RH2001-451,rehab GK Pants,1002,Torwarthosen,dash_pattern,RH2001-451,472,12108.89,0,0.0,0,0.0,14,380.84,384,9960.93,74,1767.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,380.84,82,2286.77,50,1347.94,132,3504.26,120,2821.96,67,1598.11,7,169.01
122,KEEPERsport,KS20003-999,KEEPERsport Training Torwarthose Robust,1002,Torwarthosen,dash_pattern,KS20003-999,336,11960.19,242,9312.75,65,2084.26,9,223.29,20,339.89,0,0.0,97,3769.84,46,1812.14,49,1885.41,50,1845.36,23,833.67,8,289.34,22,632.91,12,328.34,3,102.46,1,29.36,0,0.0,5,91.47,5,84.78,8,157.39,2,31.97,5,65.75,0,0.0,0,0.0
129,rehab,RH3002-451,rehab GK Pants 3/4,1002,Torwarthosen,dash_pattern,RH3002-451,515,11695.02,0,0.0,0,0.0,8,191.56,470,10672.62,37,830.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,191.56,71,1732.07,98,2235.33,213,4827.71,88,1877.51,34,778.4,3,52.44
122,KEEPERsport,KS30009-991,KEEPERsport GK Pants UnPadded 3/4 Premie,1002,Torwarthosen,dash_pattern,KS30009-991,514,11640.36,153,3689.91,100,2364.53,114,2388.98,118,2532.4,29,664.54,0,0.0,5,90.08,102,2558.06,46,1041.77,26,662.3,11,231.64,31,798.7,32,671.89,28,567.24,20,498.68,25,494.09,41,828.97,30,693.7,19,418.31,37,798.58,32,621.81,23,518.55,6,145.99
122,KEEPERsport,KS30010-991,KEEPERsport GK Pants UnPadded 3/4 RegSki,1002,Torwarthosen,dash_pattern,KS30010-991,325,10920.63,89,3135.29,90,3158.72,79,2536.01,54,1680.76,13,409.85,0,0.0,0,0.0,38,1460.78,51,1674.51,17,682.01,21,740.97,12,467.76,40,1267.98,19,678.95,9,284.41,21,671.53,30,901.12,15,448.07,7,249.98,13,414.33,19,568.38,12,385.3,1,24.55
122,KEEPERsport,KS30005-999,KEEPERsport Training 3/4 Torwarthose RP,1002,Torwarthosen,dash_pattern,KS30005-999,355,10700.42,234,7914.97,34,1106.42,79,1551.3,8,127.73,0,0.0,111,3867.22,63,2054.23,34,1088.11,26,905.41,16,543.31,2,48.57,7,236.97,9,277.57,5,179.32,9,218.28,34,644.65,31,509.05,5,89.83,2,22.29,1,15.61,0,0.0,0,0.0,0,0.0
115,adidas,AFT1455,adidas Tierro Torwarthose Schwarz,1002,Torwarthosen,legacy,,333,9938.64,253,7564.58,76,2250.92,4,123.14,0,0.0,0,0.0,34,1085.17,68,1993.02,82,2454.17,69,2032.22,59,1793.45,8,214.24,9,243.23,0,0.0,1,31.89,2,60.38,1,30.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125,NIKE,NBV6877-010,Nike Park 20 Pants,1002,Torwarthosen,legacy,,515,8831.01,53,1087.42,87,1763.29,287,4481.81,84,1407.77,4,90.72,9,213.59,0,0.0,6,123.96,38,749.87,19,436.05,11,270.48,13,246.03,44,810.73,23,455.97,5,96.99,235,3435.59,24,493.26,5,101.33,53,827.17,13,236.32,13,242.95,4,90.72,0,0.0
129,rehab,RH2000-999,Rehab Torwarthose Pant Kids Schwarz F99,1002,Torwarthosen,dash_pattern,RH2000-999,717,8826.23,677,8226.57,13,205.01,17,248.64,10,146.01,0,0.0,160,1993.15,160,1969.33,267,3137.64,90,1126.45,8,131.14,0,0.0,0,0.0,5,73.87,6,74.99,1,12.6,4,55.05,6,106.0,4,60.4,1,20.48,5,65.13,0,0.0,0,0.0,0,0.0
129,rehab,RH6004K-201,Rehab GK Underwear Shorts Kids Schwarz,1002,Torwarthosen,dash_pattern,RH6004K-201,338,8489.19,0,0.0,0,0.0,96,2521.7,201,4869.6,41,1097.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31,937.35,65,1584.35,44,1116.51,65,1472.0,24,629.5,68,1651.59,40,1071.65,1,26.24
129,rehab,RH2001K-451,Rehab Goalkeeper Trainingshose Kids Sch,1002,Torwarthosen,dash_pattern,RH2001K-451,298,7843.38,0,0.0,0,0.0,7,175.03,277,7337.55,14,330.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,175.03,95,2611.36,78,2109.42,55,1471.84,49,1144.93,13,315.62,1,15.18
128,Puma,ETS657036_001,PUMA Goalkeeper Pant Torwarthose Schwar,1002,Torwarthosen,legacy,,270,7647.07,85,1880.3,46,1429.46,90,2827.08,42,1286.64,7,223.59,7,177.75,4,95.06,23,498.07,51,1109.42,14,419.19,11,335.39,4,138.12,17,536.76,18,506.66,16,486.04,18,561.46,38,1272.92,13,379.54,5,192.19,11,330.8,13,384.11,6,192.7,1,30.89
136,uhlsport,U5617J,Uhlsport Standard GK-Pants Kids,1002,Torwarthosen,legacy,,261,7042.64,56,1462.12,78,2245.78,48,1295.89,67,1710.13,12,328.72,10,264.55,9,223.36,16,423.21,21,551.0,25,747.28,7,199.42,7,191.48,39,1107.6,8,209.04,6,168.29,7,182.88,27,735.68,12,346.57,8,187.08,17,456.0,30,720.48,12,328.72,0,0.0
136,uhlsport,U5625,uhlsport Anatomic GK-Pants,1002,Torwarthosen,legacy,,216,6292.3,57,1712.43,47,1377.26,58,1721.12,47,1297.84,7,183.65,7,217.94,17,500.92,21,654.96,12,338.61,8,251.02,8,236.63,20,600.59,11,289.02,12,334.62,10,315.89,15,465.33,21,605.28,8,235.78,8,225.06,20,519.99,11,317.01,6,154.53,1,29.12
122,KEEPERsport,KS20001-999,KEEPERsport Training Torwarthose BP F99,1002,Torwarthosen,dash_pattern,KS20001-999,263,5990.62,211,5176.49,16,371.46,36,442.67,0,0.0,0,0.0,78,2069.33,27,675.71,55,1376.41,51,1055.04,7,174.73,0,0.0,6,132.06,3,64.67,6,136.51,4,53.46,8,79.71,18,172.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,AFT1454,adidas Tierro Torwartshort Schwarz,1002,Torwarthosen,legacy,,272,5861.92,211,4650.22,58,1177.97,2,12.77,1,20.96,0,0.0,22,477.49,73,1650.39,96,2083.2,20,439.14,28,602.69,22,432.77,8,142.51,0,0.0,0,0.0,1,6.26,0,0.0,1,6.51,1,20.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS30008-991,KEEPERsport GK Shorts UnPadded Premier,1002,Torwarthosen,dash_pattern,KS30008-991,457,5836.57,73,1244.03,138,1936.03,121,1267.54,104,1079.54,21,309.43,0,0.0,7,48.32,40,756.95,26,438.76,30,475.78,24,350.81,50,703.8,34,405.64,18,161.22,14,181.69,41,477.3,48,447.33,19,222.72,27,294.5,39,336.13,19,226.19,20,305.2,1,4.23
