Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
122,KEEPERsport,KS70007-907,KEEPERsport Torwarttrikot Grün,1009,Torwartset,dash_pattern,KS70007-907,549,13150.64,0,0.0,237,5060.62,63,2023.01,238,5685.73,11,381.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,198,3953.42,39,1107.2,8,270.44,18,509.01,21,672.57,16,570.99,6,242.5,52,1477.73,157,3285.37,23,680.13,10,355.02,1,26.26
122,KEEPERsport,KS70005-407,KEEPERsport Torwarttrikot Set Challange,1009,Torwartset,dash_pattern,KS70005-407,746,10548.88,415,5615.48,131,2733.02,128,1431.11,72,769.27,0,0.0,0,0.0,0,0.0,329,3975.94,86,1639.54,43,887.21,38,803.97,26,539.85,24,501.99,24,377.16,26,287.6,49,487.59,29,278.76,10,146.64,26,313.19,32,259.35,4,50.09,0,0.0,0,0.0
122,KEEPERsport,KS70002-116,KEEPERsport Torwarttrikot Set Premier R,1009,Torwartset,dash_pattern,KS70002-116,332,10270.93,168,5610.33,100,3199.82,34,874.19,30,586.59,0,0.0,6,214.32,43,1467.6,72,2288.35,47,1640.06,39,1344.72,20,661.54,32,915.6,9,277.96,3,101.64,22,609.47,3,52.29,6,110.79,1,22.49,12,252.95,15,274.08,2,37.07,0,0.0,0,0.0
122,KEEPERsport,KS70001-116,KEEPERsport Torwarttrikot Set LS Rot F1,1009,Torwartset,dash_pattern,KS70001-116,542,9880.81,323,6581.97,47,1020.44,122,1587.5,50,690.9,0,0.0,38,862.53,78,1799.32,184,3362.14,23,557.98,9,215.75,8,212.32,11,228.23,19,364.14,12,215.42,13,131.78,47,603.59,50,636.71,9,127.65,20,309.65,15,192.67,6,60.93,0,0.0,0,0.0
122,KEEPERsport,KS70007K-907,KEEPERsport Torwarttrikot Kids Grün,1009,Torwartset,dash_pattern,KS70007K-907,341,8520.77,0,0.0,117,2545.54,40,1268.69,176,4404.92,8,301.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77,1554.47,40,991.07,11,438.44,20,590.0,4,136.7,5,103.55,1,44.49,66,1870.22,100,2170.01,9,320.2,8,301.62,0,0.0
122,KEEPERsport,KS70007-904,KEEPERsport Torwarttrikot Blau,1009,Torwartset,dash_pattern,KS70007-904,311,8171.01,0,0.0,0,0.0,195,4774.33,101,2818.86,15,577.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,531.89,166,3745.19,12,497.25,7,282.28,9,316.61,52,1284.88,33,935.09,11,410.83,4,166.99
122,KEEPERsport,KS70007K-904,KEEPERsport Torwarttrikot Kids Blau,1009,Torwartset,dash_pattern,KS70007K-904,289,7552.04,0,0.0,0,0.0,127,3089.7,150,4035.98,12,426.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,355.63,101,2280.97,12,453.1,6,212.45,31,989.21,68,1620.21,45,1214.11,10,353.27,2,73.09
122,KEEPERsport,KS70007-906,KEEPERsport Set Langarm Torwarttrikot G,1009,Torwartset,dash_pattern,KS70007-906,250,6793.93,0,0.0,134,3474.44,40,1260.41,68,1756.51,8,302.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,511.46,81,2089.1,29,873.88,12,374.11,6,240.65,7,293.59,15,352.06,4,173.0,3,145.02,49,1073.66,12,364.83,8,302.57,0,0.0
122,KEEPERsport,KS70007-910,KEEPERsport Torwarttrikot Rot,1009,Torwartset,dash_pattern,KS70007-910,245,6121.79,0,0.0,0,0.0,171,4096.57,71,1925.76,3,99.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,367.67,137,3100.63,20,628.27,7,242.79,3,106.25,52,1296.2,9,280.52,3,99.46,0,0.0
122,KEEPERsport,KS70001-425,KEEPERsport Torwarttrikot Set LS Blau F,1009,Torwartset,dash_pattern,KS70001-425,292,5984.84,154,3477.42,70,1516.13,62,894.55,5,81.99,1,14.75,56,1232.35,50,1122.4,26,588.65,22,534.02,11,285.51,12,280.0,21,436.96,26,513.66,7,150.57,25,371.38,22,287.38,8,85.22,0,0.0,2,32.94,0,0.0,3,49.05,1,14.75,0,0.0
122,KEEPERsport,KS70007K-906,KEEPERsport Torwarttrikot Set LS Kids G,1009,Torwartset,dash_pattern,KS70007K-906,222,5745.62,0,0.0,138,3124.35,25,903.29,53,1490.5,6,227.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,511.45,91,2019.7,23,593.2,7,273.11,8,332.54,8,221.86,2,75.78,4,152.74,14,516.34,33,771.6,2,49.82,6,227.48,0,0.0
122,KEEPERsport,KS70007K-910,KEEPERsport Torwarttrikot Kids Rot,1009,Torwartset,dash_pattern,KS70007K-910,212,5438.36,0,0.0,0,0.0,142,3434.28,64,1797.69,6,206.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,371.3,94,2156.73,31,906.25,14,415.2,7,226.8,35,867.14,8,288.55,5,176.39,1,30.0
122,KEEPERsport,KS70004-066,KEEPERsport GKSix GK-Shirt Set,1009,Torwartset,dash_pattern,KS70004-066,151,5334.47,0,0.0,75,2606.86,53,1889.72,17,594.92,6,242.97,0,0.0,0,0.0,0,0.0,0,0.0,30,992.65,5,253.68,27,821.96,13,538.57,24,834.69,6,245.31,16,556.79,7,252.93,1,40.74,1,43.34,4,153.65,11,357.19,5,205.48,1,37.49
122,KEEPERsport,KS70004-908,KEEPERsport GKSix GK-Shirt Set,1009,Torwartset,dash_pattern,KS70004-908,129,4659.13,0,0.0,37,1428.11,53,1847.15,31,1077.46,8,306.41,0,0.0,0,0.0,0,0.0,0,0.0,15,582.54,2,103.64,7,189.62,13,552.31,15,529.91,13,545.28,20,611.97,5,159.99,4,173.43,7,255.3,10,362.73,10,286.0,6,222.39,2,84.02
122,KEEPERsport,KS70006-904,KEEPERsport Torwarttrikot Blau,1009,Torwartset,dash_pattern,KS70006-904,330,4531.56,0,0.0,0,0.0,145,2316.4,177,2089.41,8,125.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,598.09,103,1606.73,7,111.58,10,131.52,13,112.08,128,1578.04,26,267.77,8,125.75,0,0.0
129,rehab,RH7003-011,rehab GK Basic Set s/s (black/yellow),1009,Torwartset,dash_pattern,RH7003-011,213,4125.46,49,1054.12,82,1606.08,37,737.16,44,714.98,1,13.12,0,0.0,1,21.16,34,738.65,14,294.31,19,375.77,15,314.08,16,345.51,32,570.72,6,108.16,9,183.17,13,275.88,9,169.95,4,68.78,17,308.74,10,153.98,13,183.48,1,13.12,0,0.0
122,KEEPERsport,KS70006-906,KEEPERsport Torwarttrikot Set Gelb F906,1009,Torwartset,dash_pattern,KS70006-906,347,4124.25,0,0.0,230,2791.34,21,391.26,92,941.65,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,222,2686.73,8,104.61,2,57.15,4,113.27,14,208.37,1,12.47,2,46.21,35,90.24,39,533.08,16,272.12,4,0.0,0,0.0
122,KEEPERsport,KS70006-910,KEEPERsport Torwarttrikot Orange,1009,Torwartset,dash_pattern,KS70006-910,309,3787.75,0,0.0,0,0.0,247,3151.9,60,601.96,2,33.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,120,1508.68,122,1567.99,5,75.23,2,31.71,13,164.31,33,367.89,12,38.05,2,33.89,0,0.0
121,HO Soccer,HO50_5045_8408,HO Soccer Set Premier Lime,1009,Torwartset,legacy,,220,3760.63,14,400.42,190,3073.97,16,286.24,0,0.0,0,0.0,5,134.77,1,24.55,1,24.55,7,216.55,45,750.42,52,736.9,37,632.3,56,954.35,3,52.86,6,103.49,4,76.96,3,52.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
129,rehab,RH7003-068,rehab GK Set s/s (red),1009,Torwartset,dash_pattern,RH7003-068,135,3583.14,39,1207.86,35,987.02,34,883.53,26,481.78,1,22.95,0,0.0,5,164.76,22,682.72,12,360.38,7,200.13,8,245.92,14,415.02,6,125.95,8,221.11,9,229.2,10,266.79,7,166.43,9,196.14,7,128.67,4,71.36,6,85.61,0,0.0,1,22.95
129,rehab,RH7004-011,rehab GK Basic Set l/s (yellow),1009,Torwartset,dash_pattern,RH7004-011,143,3563.64,76,1902.64,28,780.01,16,398.47,18,389.42,5,93.1,0,0.0,1,30.28,40,1001.97,35,870.39,12,321.91,4,112.51,6,204.78,6,140.81,3,71.49,3,79.06,7,184.58,3,63.34,5,109.68,7,157.14,5,92.32,1,30.28,5,93.1,0,0.0
129,rehab,RH7005-470,rehab GK Set l/s (blue),1009,Torwartset,dash_pattern,RH7005-470,124,3563.62,42,1282.52,48,1390.23,25,676.61,8,188.74,1,25.52,0,0.0,3,90.02,20,617.11,19,575.39,16,492.86,12,333.7,8,250.25,12,313.42,12,331.72,3,90.46,5,135.17,5,119.26,5,116.32,1,20.82,2,51.6,0,0.0,1,25.52,0,0.0
