Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
122,KEEPERsport,KS40011-991,KEEPERsport GK Top Regskin l/s,1003,Torwart Trainingsoberteile,dash_pattern,KS40011-991,4253,131267.12,1197,38785.22,1314,39840.35,1105,33197.6,628,19178.57,9,265.38,66,2379.95,119,4306.8,232,8646.22,780,23452.25,290,8380.81,138,4461.21,148,5213.61,738,21784.72,352,10665.21,82,2266.22,253,7295.52,418,12970.65,110,3601.0,23,740.49,263,7879.76,232,6957.32,9,265.38,0,0.0
122,KEEPERsport,KS40010-991,KEEPERsport Cold Trainingsshirt Schwarz,1003,Torwart Trainingsoberteile,dash_pattern,KS40010-991,2338,74022.23,748,24387.62,261,9124.83,679,21145.05,594,17567.72,56,1797.01,108,3345.98,33,1242.75,46,1830.24,561,17968.65,89,3067.24,4,139.94,19,757.36,149,5160.29,157,5423.27,11,425.28,149,3995.37,362,11301.13,130,4153.51,19,603.49,77,2321.91,368,10488.81,56,1797.01,0,0.0
122,KEEPERsport,KS50012-991,KEEPERsport GK Top Regskin s/s,1003,Torwart Trainingsoberteile,dash_pattern,KS50012-991,2457,67524.41,448,14002.97,519,14702.47,554,15115.9,791,19953.43,145,3749.64,0,0.0,119,3805.77,177,5799.59,152,4397.61,34,1067.59,88,2569.2,114,3437.35,283,7628.33,113,3320.15,89,2432.42,136,3593.75,216,5769.58,135,3806.82,58,1583.55,216,5265.79,382,9297.27,136,3538.67,9,210.97
122,KEEPERsport,KS40012-991,KEEPERsport GK Top l/s,1003,Torwart Trainingsoberteile,dash_pattern,KS40012-991,1569,38960.26,235,6129.16,454,10465.24,395,9923.4,384,9729.94,101,2712.52,16,423.13,24,649.38,55,1568.38,140,3488.27,144,2855.46,43,1234.89,39,1099.81,228,5275.08,84,2174.7,25,617.16,101,2455.8,185,4675.74,132,3154.3,23,577.04,85,2309.41,144,3689.19,92,2494.02,9,218.5
125,NIKE,NCJ6066-010,Nike Park IV GK-Shirt l/s,1001,Torwarttrikots,legacy,,407,10700.47,113,2871.81,146,3802.61,95,2695.64,48,1224.08,5,106.33,25,641.05,9,239.1,24,641.56,55,1350.1,35,875.23,21,605.69,64,1619.33,26,702.36,10,263.88,37,1047.99,29,847.75,19,536.02,7,192.6,10,267.0,19,494.65,12,269.83,4,88.51,1,17.82
125,NIKE,10290222_FD7482_060,Nike Gardien V Torwarttrikot Grau F060,1001,Torwarttrikots,11ts_direct,10290222,248,10047.02,0,0.0,0,0.0,132,5411.93,107,4298.09,9,337.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,390.8,23,1027.65,83,3226.39,18,767.09,16,698.0,30,1250.11,37,1473.18,24,876.8,9,337.0,0,0.0
125,NIKE,10289489_FD7474_354,Nike Gardien V Torwarttrikot langarm Tü,1001,Torwarttrikots,11ts_direct,10289489,216,9903.37,0,0.0,0,0.0,165,7660.61,29,1331.65,22,911.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,269.18,22,1098.87,113,5130.71,25,1161.85,5,255.3,0,0.0,8,388.14,16,688.21,16,673.58,6,237.53
136,uhlsport,10207592_1003667_001,uhlsport Reaction Torwartset Schwarz Gr,1001,Torwarttrikots,11ts_direct,10207592,196,9570.27,32,1804.89,55,2822.74,53,2635.37,55,2268.48,1,38.79,0,0.0,1,93.1,9,650.57,22,1061.22,12,598.86,8,414.23,23,1189.98,12,619.67,3,178.21,10,530.63,28,1366.88,12,559.65,12,538.29,8,355.44,15,664.51,20,710.24,0,0.0,1,38.79
125,NIKE,10214277_DH7760_819,Nike Torwarttrikot Orange F819,1001,Torwarttrikots,11ts_direct,10214277,247,9441.26,85,3295.66,103,4292.6,40,1244.91,15,488.19,4,119.9,0,0.0,13,583.71,42,1438.3,30,1273.65,17,712.89,20,917.74,57,2210.1,9,451.87,11,409.15,9,285.84,20,549.92,0,0.0,1,36.9,4,116.24,9,300.32,1,34.73,4,119.9,0,0.0
125,NIKE,10214276_DH7760_719,Nike Torwarttrikot Gelb F719,1001,Torwarttrikots,11ts_direct,10214276,227,8952.39,71,2963.39,89,3870.18,49,1552.49,15,481.19,3,85.14,1,35.28,13,605.29,29,1150.99,28,1171.83,16,681.96,20,1071.05,45,1815.65,8,301.52,9,330.66,17,562.06,21,584.68,2,75.09,2,78.17,5,153.72,5,158.12,3,91.18,3,85.14,0,0.0
