Farbcode;Rows;Net_Revenue;Vorschlag_Farbe_Kampagne;Trust_%;Kampagne_Farbe_FINAL;Beispiel_1;Beispiel_2;Beispiel_3;Silos_API;Colorways_API;Farben_API_primary;Farben_API_secondary;Active_count;Inactive_count;Hauptfarbe_Excel;Nebenfarbe_Excel;LP_EUR;EK_11TS_EUR;Beispiel_SKU_1;Beispiel_SKU_2;Beispiel_SKU_3;Needs_Manual;Silo_Collision;SAP_SKU_1;SAP_Product_1;SAP_Brand_1;SAP_SKU_2;SAP_Product_2;SAP_SKU_3;SAP_Product_3
991;53149;1602564.06;Schwarz (Textil-Standard);95;;KEEPERsport Underpants UnPadded 3/4;KEEPERsport 3/4 Unterziehose PowerPadde;KEEPERsport RegSkin Sweatshirt Unpadded;KE80042;;mehrfarbig;;1;0;schwarz;schwarz;30 | 35 | 45 | 8;10.5 | 13.5 | 2.4;KE80039-991;KE80040-991;KE80041-991;;;KS60030-991;KEEPERsport Undershorts PowerPadded Juni;KEEPERsport;KS60032-991;KEEPERsport 3/4 Unterziehose PowerPadde;KS60033-991;KEEPERsport Underpants PowerPadded witho
804;11004;439787.74;Demon;70;;KEEPERsport Varan8 Champ Power Demon To;KEEPERsport Varan8 Champ Torwarthandsch;;KS10050 | KS10060 | KS10070;Challenge | Champ | Pro;weiss;blau;3;0;;;;;;;;;;KS10030-804;KEEPERsport Torwarthandschuhe Weiß;KEEPERsport;KS10050-804;KEEPERsport Varan8 Champ Torwarthandsch;KS10070-804;KEEPERsport Varan8 Pro NC TW-Handschuhe
701;10944;376422.71;;;;KEEPERsport Varan7 Champ GC TW-Handschu;KEEPERsport Varan7 Champ NC TW-Handschu;KEEPERsport Varan7 Pro NC TW-Handschuhe;KS10025;Pro;rot;weiss;1;0;;;;;;;;;;KS10021-701;KEEPERsport Varan7 Champ NC TW-Handschu;KEEPERsport;KS10020-701;KEEPERsport Varan7 Hero NC TW-Handschuh;KS10026-701;KEEPERsport Varan7 Premier NC TW-Handsc
999;12067;369484.58;Schwarz (Accessoires/Textil);90;;KEEPERsport Training 3/4 Torwarthose BP;KEEPERsport KEEPERbag;;;;;;;;;;20;6;KS50015K-999;KS50015-999;KS50014K-999;;;KE80035-999;KEEPERsport KEEPERdummy (black);KEEPERsport;KE80028-999;KEEPERsport KEEPERbag;RH6006-999;rehab Goalkeeper Underpants (black)
010;11866;368443.98;Schwarz (Handschuhe);85;;KEEPERsport Varan7 Champ Power TW-Hands;KEEPERsport Varan7 Champ NC TW-Handschu;KEEPERsport Glove Bag;KS10025;Pro;schwarz;gelb;1;0;;;;;;;;;;KS10021-010;KEEPERsport Varan7 Champ NC TW-Handschu;KEEPERsport;KS10025-010;KEEPERsport Varan7 Pro NC TW-Handschuhe;KS10026-010;KEEPERsport Varan7 Premier NC TW-Handsc
066;9070;356816.47;;;;KEEPERsport Varan7 Pro NC TW-Handschuhe;KEEPERsport Varan7 Premier NC TW-Handsc;KEEPERsport Varan7 Champ NC TW-Handschu;KS10025;Pro;weiss;rot;1;0;;;;;;;;;;KS10021-066;KEEPERsport Varan7 Champ NC TW-Handschu;KEEPERsport;KS10026-066;KEEPERsport Varan7 Premier NC TW-Handsc;KS10025-066;KEEPERsport Varan7 Pro NC TW-Handschuhe
471;7162;259425.89;;;;KEEPERsport Varan7 Challenge NC TW-Hand;KEEPERsport Varan7 Champ NC TW-Handschu;;KS10025;Pro;tuerkis;schwarz;1;0;;;;;;;;;;KS10021-471;KEEPERsport Varan7 Champ NC TW-Handschu;KEEPERsport;KS10020-471;KEEPERsport Varan7 Hero NC TW-Handschuh;KS10025-471;KEEPERsport Varan7 Pro NC TW-Handschuhe
906;6544;240653.38;;;;KEEPERsport Set Langarm Torwarttrikot G;;;KE80055 | KE80055K | KE80056 | KE80056K | KS60042 | KS60042K | KS60052 | KS60052K | KS60055 | KS60055K | KS60062 | KS60062K | KS70006 | KS70006K | KS70007 | KS70007K;;gelb | schwarz;schwarz;16;0;schwarz;;35 | 40 | 50 | 60 | 70;10.5 | 12 | 15 | 18 | 21;KS60065K-906;KS60065-906;KS60042K-906;;YES;KS60055-906;KEEPERsport Underpants PowerPadded 3/4;KEEPERsport;KS60052-906;KEEPERsport Undershorts PowerPadded;KS60062-906;KEEPERsport Underpants PowerPadded AntiA
091;5555;233185.86;;;;KEEPERsport Varan6 Challenge NC TW-Hand;KEEPERsport Varan6 Champ NC TW-Hand;;;;;;;;;;;;;;;YES;;KS10011-091;KEEPERsport Varan6 Challenge NC TW-Hand;KEEPERsport;KS10029-091;KEEPERsport Varan7 Champ NC Whiteout TW;;
903;5733;228737.21;Demon;70;;KEEPERsport Varan8 Pro NC Demon Torwart;KEEPERsport Varan8 Champ NC Demon Torwa;KEEPERsport Varan8 Champ Power Demon To;KS10050 | KS10051 | KS10070;Demon;schwarz;gruen;4;0;;;;;;;;;;KS10030-903;KEEPERsport Varan8 Hero NC;KEEPERsport;KS10050-903;KEEPERsport Varan8 Champ NC Demon Torwa;KS10051-903;KEEPERsport Varan8 Champ Power Demon To
