sku_parent,model_root,farbcode,brand,name,hauptfarbe,nebenfarbe,lp_eur,ks_eur,fp_po_eur,ek_11ts_eur,ek_at_eur,ek_it_eur,gtin_sample,kategorie,gewicht,launch_date,material,collection,cut,surface,size_count,source_files
KS10032-000,KS10032,000,KEEPERsport,KEEPERsport Hero Elite NC Whiteout,white,white,110,109.95,41.25,33,15,33,9120130667759,4000,0.19,c/o,40%latex     35%polyester     20%Nylon     5%PU,KEEPERsport Hero,Negative Cut,Dry,16,PSD-11TS-KS-bisQ3.xlsx:PSD | Stammdaten Dominance.xlsx:rest
KS10070-000,KS10070,000,KEEPERsport,KEEPERsport Pro Elite NC Whiteout,,,70,,,21,,,9120130668190,4000,0.2,c/o,52%Latex  ,,,,9,PSD-11TS-KS-bisQ3.xlsx:PSD
KSP22-0118,KSP22-0118,,KEEPERsport,KEEPERsport TOWEL 30 cm x (80+15cm),,,35,,,12.25,,,4260498340033,3099,0.24,c/o,,,,,1,PSD-11TS-KS-bisQ3.xlsx:PSD
KE80047-421,KE80047,421,KEEPERsport,KEEPERsport Reaction Ball,,,30,,,10.5,,,9120130663430,300602,0.3,c/o,,,,,1,PSD-11TS-KS-bisQ3.xlsx:PSD
KE80048-758,KE80048,758,KEEPERsport,KEEPERsport 1kg Ball,,,55,,,19.25,,,9120130663416,300602,0.98,c/o,,,,,1,PSD-11TS-KS-bisQ3.xlsx:PSD
KE80049-759,KE80049,759,KEEPERsport,KEEPERsport 800g Ball,,,50,,,17.5,,,9120130663423,300602,0.81,c/o,,,,,1,PSD-11TS-KS-bisQ3.xlsx:PSD
KE80050-703,KE80050,703,KEEPERsport,KEEPERsport Match Ball,,,40,,,14,,,9120130660798,3001,0.42,c/o,,,,,2,PSD-11TS-KS-bisQ3.xlsx:PSD
KS10081-000,KS10081,000,KEEPERsport,KEEPERsport Pro Rise NC Whiteout,,,40,,,12,,,9120130668282,4000,0.2,c/o,35%Latex   ,,,,8,PSD-11TS-KS-bisQ3.xlsx:PSD
KS10032-011,KS10032,011,KEEPERsport,KEEPERsport Hero Elite NC,,,100,,,30,,,9120141790538,4000,0.19,July 26,,,,,8,PSD-11TS-KS-bisQ3.xlsx:PSD
KS10053-011,KS10053,011,KEEPERsport,KEEPERsport Champ Elite NC,,,80,,,24,,,9120141790613,4000,0.19,July 26,,,,,7,PSD-11TS-KS-bisQ3.xlsx:PSD
